1000 999000
934 64 10
851 357 12
932 227 3
122 229 7
688 307 8
447 681 9
117 571 5
11 296 15
671 589 9
658 816 19
898 856 6
287 310 16
870 514 3
201 653 18
87 564 11
446 962 5
274 562 21
33 630 16
835 494 16
699 529 9
49 603 20
527 459 9
690 89 11
607 333 22
644 959 8
541 819 7
986 248 15
538 829 23
253 751 3
639 934 11
272 590 10
687 883 12
780 393 9
789 270 13
539 637 13
294 30 6
487 608 17
291 543 16
66 669 15
279 265 16
561 411 14
623 194 7
634 807 18
196 284 5
629 305 17
898 413 14
771 601 21
912 602 9
987 818 13
778 213 5
4 371 9
751 627 2
883 936 9
278 774 8
20 122 21
197 155 17
919 95 17
339 778 9
635 821 23
826 18 15
710 753 13
966 281 21
544 766 19
549 182 21
286 831 11
515 681 13
908 787 19
616 782 14
98 620 22
148 790 18
367 749 20
692 192 16
173 419 6
124 499 6
146 103 23
918 519 1
757 932 2
166 562 16
469 122 2
641 837 15
292 986 5
961 161 19
18 335 2
820 359 8
812 640 13
39 702 17
330 854 9
167 978 9
801 44 21
6 652 7
439 735 8
410 0 14
187 148 20
837 86 16
322 318 18
902 608 9
821 79 11
514 772 3
702 652 12
343 293 18
959 207 13
18 460 2
445 579 1
993 813 3
283 701 14
354 732 7
33 56 3
746 397 16
471 700 20
230 629 18
374 983 9
472 188 12
414 42 21
55 170 13
686 539 10
588 30 18
868 123 8
137 369 17
461 108 7
494 682 17
465 480 4
869 105 11
759 790 3
626 110 18
342 703 17
419 581 5
367 471 21
202 905 19
391 156 3
476 985 22
338 792 14
277 666 21
333 254 9
7 787 16
947 928 19
124 771 15
66 704 6
913 576 11
292 59 9
686 937 17
371 968 4
669 581 13
277 943 15
285 679 22
512 731 9
927 264 12
574 741 12
379 339 16
94 252 5
235 853 11
813 850 7
150 31 8
302 688 10
633 99 1
407 121 11
534 926 18
269 536 17
410 39 7
573 65 10
752 949 8
845 592 10
717 215 4
34 832 1
836 28 23
442 863 19
654 250 21
708 863 17
884 461 7
560 374 22
49 574 3
721 8 16
142 420 15
619 846 1
987 947 1
373 748 3
346 824 13
679 701 14
353 991 17
289 817 14
39 305 6
476 420 11
16 14 3
816 978 20
504 998 22
293 651 17
268 371 20
148 512 6
489 563 10
290 491 18
601 435 22
171 725 17
577 637 12
653 573 19
346 299 21
648 549 12
423 859 5
752 822 16
563 883 7
365 555 21
549 984 21
408 915 16
365 698 20
134 768 18
841 853 4
331 606 19
249 159 14
390 629 6
816 343 14
435 4 16
226 798 4
554 819 11
37 629 10
676 200 4
461 976 14
477 962 17
765 69 18
475 124 14
428 303 3
372 136 10
361 8 20
861 546 5
119 172 15
822 209 22
574 645 10
926 481 10
208 160 6
333 189 6
153 287 14
353 530 4
384 832 9
799 77 13
476 116 8
538 892 6
748 751 11
702 340 9
620 31 17
258 256 20
930 971 14
203 423 11
980 217 14
862 395 20
364 483 5
699 995 12
158 904 22
23 245 23
34 252 14
30 696 1
563 596 14
643 736 14
391 84 14
467 829 14
12 727 18
661 564 1
950 108 12
240 245 11
273 294 21
568 402 2
45 112 10
794 842 14
914 30 14
98 880 20
417 840 13
296 16 6
451 720 23
343 148 18
404 20 5
308 972 7
44 713 22
