Instancja;Algorytm;Rozmiar_Grafu;Czas[us];Najlepszy_Koszt;Optimum;;N;Czas - Sym. [us];Czas - Asym. [us]
sym_6;BRUTE-FORCE;6;9,60E+00;144;144;;6;9,60E+00;1,24E+01
sym_7;BRUTE-FORCE;7;4,26E+01;137;137;;7;4,26E+01;3,96E+01
sym_8;BRUTE-FORCE;8;2,86E+02;234;234;;8;2,86E+02;2,64E+02
sym_9;BRUTE-FORCE;9;2,17E+03;149;149;;9;2,17E+03;2,14E+03
sym_10;BRUTE-FORCE;10;1,99E+04;209;209;;10;1,99E+04;1,96E+04
sym_11;BRUTE-FORCE;11;1,85E+05;161;161;;11;1,85E+05;1,87E+05
sym_12;BRUTE-FORCE;12;2,11E+06;155;155;;12;2,11E+06;2,12E+06
sym_13;BRUTE-FORCE;13;2,52E+07;224;224;;13;2,52E+07;2,53E+07
sym_14;BRUTE-FORCE;14;3,43E+08;248;248;;14;3,43E+08;3,39E+08
asym_6;BRUTE-FORCE;6;1,24E+01;145;145;;;;
asym_7;BRUTE-FORCE;7;3,96E+01;185;185;;;;
asym_8;BRUTE-FORCE;8;2,64E+02;137;137;;;;
asym_9;BRUTE-FORCE;9;2,14E+03;197;197;;;;
asym_10;BRUTE-FORCE;10;1,96E+04;156;156;;;;
asym_11;BRUTE-FORCE;11;1,87E+05;130;130;;;;
asym_12;BRUTE-FORCE;12;2,12E+06;119;119;;;;
asym_13;BRUTE-FORCE;13;2,53E+07;210;210;;;;
asym_14;BRUTE-FORCE;14;3,39E+08;205;205;;;;
