Instancja;Algorytm;Rozmiar_Grafu;Czas[us];Koszt;Optimum;B³¹d wzglêdny;;Algorytm;N;Czas - Sym. [us];Czas - Asym. [us];;N;Czas - NN [us];Czas - RNN [us];Czas - RAND [us];;N;NN [%];RNN[%];;;;;;;;
sym_6;NN;6;5,20E+00;185;144;28,47%;;NN;6;5,20E+00;1,60E+00;;6;5,20E+00;1,38E+01;7,60E+00;;6;28,47%;0,00%;;;;;;;;
sym_6;RNN;6;1,38E+01;144;144;0,00%;;RNN;6;1,38E+01;9,00E+00;;7;1,60E+00;1,12E+01;4,96E+01;;7;22,63%;22,63%;;;;;;;;
sym_7;NN;7;1,60E+00;168;137;22,63%;;NN;7;1,60E+00;2,00E+00;;8;2,60E+00;2,04E+01;1,62E+02;;8;15,81%;0,00%;;;;;;;;
sym_7;RNN;7;1,12E+01;168;137;22,63%;;RNN;7;1,12E+01;1,02E+01;;9;3,00E+00;1,60E+01;5,94E+02;;9;0,00%;0,00%;;;;;;;;
sym_8;NN;8;2,60E+00;271;234;15,81%;;NN;8;2,60E+00;1,80E+00;;10;2,60E+00;2,64E+01;1,96E+04;;10;47,85%;13,40%;;;;;;;;
sym_8;RNN;8;2,04E+01;234;234;0,00%;;RNN;8;2,04E+01;1,70E+01;;11;2,20E+00;3,46E+01;1,32E+05;;11;43,48%;0,00%;;;;;;;;
sym_9;NN;9;3,00E+00;149;149;0,00%;;NN;9;3,00E+00;1,80E+00;;12;5,40E+00;4,04E+01;1,96E+06;;12;67,10%;0,00%;;;;;;;;
sym_9;RNN;9;1,60E+01;149;149;0,00%;;RNN;9;1,60E+01;2,48E+01;;13;3,20E+00;4,02E+01;9,33E+06;;13;44,20%;16,96%;;;;;;;;
sym_10;NN;10;2,60E+00;309;209;47,85%;;NN;10;2,60E+00;3,80E+00;;14;2,60E+00;4,46E+01;;;14;4,44%;4,44%;;;;;;;;
sym_10;RNN;10;2,64E+01;237;209;13,40%;;RNN;10;2,64E+01;2,46E+01;;;;;;;;;;;;;;;;;
sym_11;NN;11;2,20E+00;231;161;43,48%;;NN;11;2,20E+00;3,60E+00;;;;;;;;;;;;;;;;;
sym_11;RNN;11;3,46E+01;161;161;0,00%;;RNN;11;3,46E+01;4,28E+01;;;;;;;;;;;;;;;;;
sym_12;NN;12;5,40E+00;259;155;67,10%;;NN;12;5,40E+00;3,00E+00;;;;;;;;;;;;;;;;;
sym_12;RNN;12;4,04E+01;155;155;0,00%;;RNN;12;4,04E+01;2,86E+01;;;;;;;;;;;;;;;;;
sym_13;NN;13;3,20E+00;323;224;44,20%;;NN;13;3,20E+00;4,80E+00;;;;;;;;;;;;;;;;;
sym_13;RNN;13;4,02E+01;262;224;16,96%;;RNN;13;4,02E+01;2,90E+01;;;;;;;;;;;;;;;;;
sym_14;NN;14;2,60E+00;259;248;4,44%;;NN;14;2,60E+00;3,40E+00;;;;;;;;;;;;;;;;;
sym_14;RNN;14;4,46E+01;259;248;4,44%;;RNN;14;4,46E+01;4,44E+01;;;;;;;;;;;;;;;;;
asym_6;NN;6;1,60E+00;145;145;0,00%;;;;;;;;;;;;;;;;;;;;;;
asym_6;RNN;6;9,00E+00;145;145;0,00%;;;;;;;;;;;;;;;;;;;;;;
asym_7;NN;7;2,00E+00;240;185;29,73%;;;;;;;;;;;;;;;;;;;;;;
asym_7;RNN;7;1,02E+01;186;185;0,54%;;;;;;;;;;;;;;;;;;;;;;
asym_8;NN;8;1,80E+00;218;137;59,12%;;;;;;;;;;;;;;;;;;;;;;
asym_8;RNN;8;1,70E+01;140;137;2,19%;;;;;;;;;;;;;;;;;;;;;;
asym_9;NN;9;1,80E+00;308;197;56,35%;;;;;;;;;;;;;;;;;;;;;;
asym_9;RNN;9;2,48E+01;197;197;0,00%;;;;;;;;;;;;;;;;;;;;;;
asym_10;NN;10;3,80E+00;259;156;66,03%;;;;;;;;;;;;;;;;;;;;;;
asym_10;RNN;10;2,46E+01;161;156;3,21%;;;;;;;;;;;;;;;;;;;;;;
asym_11;NN;11;3,60E+00;211;130;62,31%;;;;;;;;;;;;;;;;;;;;;;
asym_11;RNN;11;4,28E+01;139;130;6,92%;;;;;;;;;;;;;;;;;;;;;;
asym_12;NN;12;3,00E+00;225;119;89,08%;;;;;;;;;;;;;;;;;;;;;;
asym_12;RNN;12;2,86E+01;165;119;38,66%;;;;;;;;;;;;;;;;;;;;;;
asym_12;NN;12;4,80E+00;225;119;89,08%;;;;;;;;;;;;;;;;;;;;;;
asym_12;RNN;12;2,90E+01;165;119;38,66%;;;;;;;;;;;;;;;;;;;;;;
asym_14;NN;14;3,40E+00;289;205;40,98%;;;;;;;;;;;;;;;;;;;;;;
asym_14;RNN;14;4,44E+01;286;205;39,51%;;;;;;;;;;;;;;;;;;;;;;
