Instancja;Algorytm;N;Czas[us];Koszt;Optimum;;N;Czas - Sym. [us];Czas - Asym. [us]
sym_6;RAND;6;7,60E+00;144;144;;6;7,60E+00;2,10E+01
sym_7;RAND;7;4,96E+01;137;137;;7;4,96E+01;2,80E+01
sym_8;RAND;8;1,62E+02;234;234;;8;1,62E+02;2,28E+02
sym_9;RAND;9;5,94E+02;149;149;;9;5,94E+02;3,83E+03
sym_10;RAND;10;1,96E+04;209;209;;10;1,96E+04;4,73E+04
sym_11;RAND;11;1,32E+05;161;161;;11;1,32E+05;3,52E+05
sym_12;RAND;12;1,96E+06;155;155;;12;1,96E+06;4,39E+06
sym_13;RAND;13;9,33E+06;224;224;;13;9,33E+06;4,60E+07
asym_6;RAND;6;2,10E+01;145;145;;;;
asym_7;RAND;7;2,80E+01;185;185;;;;
asym_8;RAND;8;2,28E+02;137;137;;;;
asym_9;RAND;9;3,83E+03;197;197;;;;
asym_10;RAND;10;4,73E+04;156;156;;;;
asym_11;RAND;11;3,52E+05;130;130;;;;
asym_12;RAND;12;4,39E+06;119;119;;;;
asym_13;RAND;13;4,60E+07;210;210;;;;
