Instancja,Metoda,Rozmiar_Grafu,Czas[us],Najlepszy_Koszt,Uzyto_UB,Max_Wezlow_w_Pamieci,Sprawdzonych_Wezlow
sym_6,BFS,6,22,144,TAK,3,5
sym_6,DFS,6,23,144,TAK,3,5
sym_6,LC,6,29,144,TAK,3,5
sym_7,BFS,7,344,137,TAK,41,171
sym_7,DFS,7,190,137,TAK,10,50
sym_7,LC,7,263,137,TAK,41,71
sym_8,BFS,8,159,234,TAK,14,37
sym_8,DFS,8,129,234,TAK,7,37
sym_8,LC,8,172,234,TAK,14,37
sym_9,BFS,9,211,149,TAK,11,42
sym_9,DFS,9,193,149,TAK,5,42
sym_9,LC,9,221,149,TAK,14,42
sym_10,BFS,10,1484,209,TAK,73,302
sym_10,DFS,10,689,209,TAK,12,163
sym_10,LC,10,447,209,TAK,78,129
sym_11,BFS,11,425,161,TAK,17,73
sym_11,DFS,11,438,161,TAK,10,73
sym_11,LC,11,434,161,TAK,19,73
sym_12,BFS,12,6275,155,TAK,212,936
sym_12,DFS,12,5929,155,TAK,25,936
sym_12,LC,12,6291,155,TAK,319,936
sym_13,BFS,13,110395,224,TAK,3217,15270
sym_13,DFS,13,19168,224,TAK,38,3046
sym_13,LC,13,28694,224,TAK,3781,6056
sym_14,BFS,14,19968,248,TAK,503,2482
sym_14,DFS,14,11211,248,TAK,22,1324
sym_14,LC,14,11389,248,TAK,710,1674
asym_6,BFS,6,11,145,TAK,1,2
asym_6,DFS,6,10,145,TAK,1,2
asym_6,LC,6,11,145,TAK,1,2
asym_7,BFS,7,62,185,TAK,6,19
asym_7,DFS,7,80,185,TAK,5,19
asym_7,LC,7,68,185,TAK,5,19
asym_8,BFS,8,67,137,TAK,4,17
asym_8,DFS,8,76,137,TAK,4,14
asym_8,LC,8,62,137,TAK,5,14
asym_9,BFS,9,171,197,TAK,6,27
asym_9,DFS,9,144,197,TAK,5,27
asym_9,LC,9,139,197,TAK,8,27
asym_10,BFS,10,234,156,TAK,11,48
asym_10,DFS,10,164,156,TAK,6,30
asym_10,LC,10,144,156,TAK,11,33
asym_11,BFS,11,215,130,TAK,7,30
asym_11,DFS,11,148,130,TAK,5,25
asym_11,LC,11,119,130,TAK,10,24
asym_12,BFS,12,4019,119,TAK,129,799
asym_12,DFS,12,518,119,TAK,14,97
asym_12,LC,12,334,119,TAK,57,83
asym_13,BFS,13,1492,210,TAK,41,198
asym_13,DFS,13,1425,210,TAK,13,151
asym_13,LC,13,1601,210,TAK,59,156
asym_14,BFS,14,356123,205,TAK,10670,65462
asym_14,DFS,14,5244,205,TAK,40,696
asym_14,LC,14,4797,205,TAK,1132,1335
burma14,BFS,14,1896721,3323,TAK,62563,334789
burma14,DFS,14,21670,3323,TAK,63,2373
burma14,LC,14,48607,3323,TAK,8784,10486
ulysses16,DFS,16,2222172,6859,TAK,87,269550
gr17,DFS,17,5014516,2085,TAK,72,530478
gr21,DFS,21,574398,2707,TAK,90,35448
