Instancja;Metoda;Rozmiar_Grafu;Czas[us];Najlepszy_Koszt;Uzyto_UB;Max_Wezlow_w_Pamieci;Sprawdzonych_Wezlow
sym_6;BFS;6;406;144;NIE;120;326
sym_6;DFS;6;45;144;NIE;11;25
sym_6;LC;6;70;144;NIE;22;33
sym_7;BFS;7;2763;137;NIE;720;1957
sym_7;DFS;7;153;137;NIE;16;74
sym_7;LC;7;161;137;NIE;78;109
sym_8;BFS;8;21918;234;NIE;5040;13700
sym_8;DFS;8;316;234;NIE;22;127
sym_8;LC;8;278;234;NIE;140;181
sym_9;BFS;9;192627;149;NIE;40320;109601
sym_9;DFS;9;498;149;NIE;29;160
sym_9;LC;9;459;149;NIE;166;214
sym_10;BFS;10;1868354;209;NIE;362880;986410
sym_10;DFS;10;1294;209;NIE;37;373
sym_10;LC;10;648;209;NIE;233;284
sym_11;BFS;11;22459836;161;NIE;3628800;9864101
sym_11;DFS;11;2886;161;NIE;46;675
sym_11;LC;11;2285;161;NIE;411;499
sym_12;DFS;12;13489;155;NIE;56;1580
sym_12;LC;12;71002;155;NIE;4810;5769
sym_13;DFS;13;24838;224;NIE;67;4072
sym_14;DFS;14;19431;248;NIE;79;2781
sym_13;LC;13;75289;224;NIE;12013;14259
sym_14;LC;14;24625;248;NIE;6344;7304
asym_6;BFS;6;448;145;NIE;120;326
asym_6;DFS;6;80;145;NIE;11;53
asym_6;LC;6;37;145;NIE;14;20
asym_7;BFS;7;2907;185;NIE;720;1957
asym_7;DFS;7;160;185;NIE;16;84
asym_7;LC;7;137;185;NIE;49;67
asym_8;BFS;8;21697;137;NIE;5040;13700
asym_8;DFS;8;221;137;NIE;22;104
asym_8;LC;8;111;137;NIE;45;57
asym_9;BFS;9;198026;197;NIE;40320;109601
asym_9;DFS;9;473;197;NIE;29;168
asym_9;LC;9;432;197;NIE;122;155
asym_10;BFS;10;1881069;156;NIE;362880;986410
asym_10;DFS;10;293;156;NIE;37;107
asym_10;LC;10;438;156;NIE;116;140
asym_11;BFS;11;21214390;130;NIE;3628800;9864101
asym_11;DFS;11;1143;130;NIE;46;267
asym_11;LC;11;246;130;NIE;68;83
asym_12;DFS;12;6638;119;NIE;56;319
asym_12;LC;12;4137;119;NIE;133;159
asym_13;DFS;13;4980;210;NIE;67;892
asym_14;DFS;14;5821;205;NIE;79;823
asym_13;LC;13;2352;210;NIE;650;755
asym_14;LC;14;5644;205;NIE;1406;1609
burma14;DFS;14;19979;3323;NIE;79;2544
ulysses16;DFS;16;2231691;6859;NIE;106;270061
gr17;DFS;17;6606654;2085;NIE;121;730164
gr21;DFS;21;4354874;2707;NIE;191;325704
burma14;LC;14;46143;3323;NIE;11294;12985
ulysses16;LC;16;11238138;6859;NIE;1499474;1750702
gr17;LC;17;24097272;2085;NIE;2796242;3195180
gr21;LC;21;1410413;2707;NIE;204131;221532
