Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
7000;1039;6938;3841
14000;2026;6032;3841
21000;3009;6864;3841
28000;4001;7146;3841
35000;4987;5905;3841
42000;6023;6963;3841
49000;7069;5916;3841
56000;8155;7322;3841
63000;9349;5791;3841
70000;10388;7585;3841
77000;11420;6465;3841
84000;12487;7012;3841
91000;13691;7120;3841
98000;14781;7978;3841
105000;15864;6506;3841
112000;17006;7015;3841
119000;18077;6871;3841
126000;19156;6128;3841
133000;20237;7371;3841
140000;21310;7562;3841
147000;22374;6631;3841
154000;23400;5999;3841
161000;24399;6430;3841
168000;25381;7329;3841
175000;26368;6708;3841
182000;27357;7026;3841
189000;28487;6295;3841
196000;29480;6283;3841
203000;30460;5170;3841
210000;31446;6077;3841
217000;32433;6792;3841
224000;33422;5647;3841
231000;34410;7325;3841
238000;35407;7128;3841
245000;36386;6587;3841
252000;37368;7181;3841
259000;38353;6417;3841
266000;39344;5730;3841
273000;40336;6612;3841
280000;41327;5474;3841
287000;42318;5833;3841
294000;43330;6138;3841
301000;44324;6978;3841
308000;45385;6669;3841
315000;46380;7313;3841
322000;47366;6876;3841
329000;48346;5586;3841
336000;49342;6080;3841
343000;50321;6903;3841
350000;51311;6700;3841
357000;52303;6291;3841
364000;53290;7108;3591
371000;54283;6821;3591
378000;55274;7409;3591
385000;56274;6401;3591
392000;57262;6373;3591
399000;58264;5539;3591
406000;59344;5970;3591
413000;60393;7976;3591
420000;61426;5947;3591
427000;62421;7178;3591
434000;63412;6570;3591
441000;64404;7203;3591
448000;65393;7313;3591
455000;66385;6536;3591
462000;67377;7084;3591
469000;68358;6515;3591
476000;69340;6314;3591
483000;70337;5993;3591
490000;71327;6946;3591
497000;72315;7142;3591
504000;73307;6981;3591
511000;74294;5793;3591
518000;75285;5329;3591
525000;76272;7081;3591
532000;77306;5867;3591
539000;78374;5785;3591
546000;79359;6655;3591
553000;80338;6232;3591
560000;81320;7291;3591
567000;82309;6997;3591
574000;83300;6433;3591
581000;84297;6128;3591
588000;85285;6544;3591
595000;86273;7007;3591
602000;87257;7213;3591
609000;88242;6352;3591
616000;89233;6359;3591
623000;90222;6063;3591
630000;91210;7442;3591
637000;92189;7537;3591
644000;93170;6613;3591
651000;94177;6690;3591
658000;95165;7337;3591
665000;96145;7764;3591
672000;97138;6228;3591
679000;98133;7272;3591
686000;99124;6354;3591
693000;100110;7678;3591
700000;101096;7731;3591
707000;102085;7473;3591
714000;103071;7443;3591
721000;104061;6451;3591
728000;105054;5964;3591
735000;106043;6261;3591
742000;107032;6555;3591
749000;108022;7935;3591
756000;109010;5485;3591
763000;110058;5328;3591
770000;111149;6625;3591
777000;112190;7261;3591
784000;113177;6271;3591
791000;114157;6844;3591
798000;115146;6713;3591
805000;116132;6809;3591
812000;117117;7439;3591
819000;118096;5631;3591
826000;119090;7350;3591
833000;120094;6913;3591
840000;121083;6085;3591
847000;122072;6430;3591
854000;123052;5572;3591
861000;124035;5634;3591
868000;125014;6872;3591
875000;126045;6035;3591
882000;127029;6521;3591
889000;128103;6260;3591
896000;129085;7138;3591
903000;130075;5641;3591
910000;131077;5571;3591
917000;132066;6792;3591
924000;133057;6645;3591
931000;134041;6079;3591
938000;135026;8246;3591
945000;136020;7100;3591
952000;137010;6292;3591
959000;137990;6956;3591
966000;138973;6733;3591
973000;139968;7764;3591
980000;140959;6590;3591
987000;141943;7117;3591
994000;142931;7026;3591
1001000;143985;5926;3591
1008000;145000;7233;3591
1015000;146006;7199;3591
1022000;147000;6662;3591
1029000;147985;6314;3591
1036000;148973;6950;3591
1043000;149960;6055;3591
1050000;150950;5855;3591
1057000;151938;6792;3591
1064000;152923;6389;3591
1071000;153920;6776;3591
1078000;154906;6702;3591
1085000;155895;7320;3591
1092000;156886;6207;3591
1099000;157876;6233;3591
1106000;158865;6410;3591
1113000;159909;6569;3591
1120000;160897;7026;3591
1127000;161894;5353;3591
1134000;162877;8009;3591
1141000;163865;6426;3591
1148000;164845;6654;3591
1155000;165829;6210;3591
1162000;166808;6415;3591
1169000;167794;6529;3591
1176000;168774;7292;3591
1183000;169755;6161;3591
1190000;170733;6597;3591
1197000;171722;6177;3591
1204000;172710;6907;3591
1211000;173702;7589;3591
1218000;174687;6292;3591
1225000;175696;5318;3591
1232000;176685;6923;3591
1239000;177672;7038;3591
1246000;178660;7502;3591
1253000;179647;6022;3591
1260000;180632;5771;3591
1267000;181618;8646;3591
1274000;182607;6318;3591
1281000;183595;7561;3591
1288000;184580;6118;3591
1295000;185564;6762;3591
1302000;186555;7863;3591
1309000;187543;5871;3591
1316000;188540;7442;3591
1323000;189529;6716;3591
1330000;190518;7449;3591
1337000;191634;6812;3591
1344000;192615;6499;3591
1351000;193603;7022;3591
1358000;194598;5932;3591
1365000;195592;8041;3591
1372000;196580;6327;3591
1379000;197574;6018;3591
1386000;198563;6108;3591
1393000;199546;6370;3591
1400000;200531;7147;3591
1407000;201518;5995;3591
1414000;202513;6471;3591
1421000;203504;6436;3591
1428000;204497;6902;3591
1435000;205485;7335;3591
1442000;206473;5820;3591
1449000;207514;8148;3591
1456000;208519;6101;3591
1463000;209513;6548;3591
1470000;210503;7355;3591
1477000;211496;7306;3591
1484000;212477;6535;3591
1491000;213464;6339;3591
1498000;214452;5709;3591
1505000;215442;7700;3591
1512000;216429;6895;3591
1519000;217419;6061;3591
1526000;218408;6446;3591
1533000;219394;6488;3591
1540000;220381;5992;3591
1547000;221366;6391;3591
1554000;222349;7172;3591
1561000;223364;6196;3591
1568000;224348;5857;3591
1575000;225335;6403;3591
1582000;226328;6721;3591
1589000;227319;8405;3591
1596000;228316;5838;3591
1603000;229305;7353;3591
1610000;230301;6046;3591
1617000;231287;5758;3591
1624000;232311;7400;3591
1631000;233307;7429;3591
1638000;234293;7544;3591
1645000;235282;5670;3591
1652000;236272;6496;3591
1659000;237263;6503;3591
1666000;238251;6330;3591
1673000;239309;7537;3591
1680000;240290;6338;3591
1687000;241280;5693;3591
1694000;242272;7410;3591
1701000;243265;6061;3591
1708000;244264;6286;3591
1715000;245247;6969;3591
1722000;246226;7395;3591
1729000;247203;7927;3591
1736000;248182;6639;3591
1743000;249159;7676;3591
1750000;250146;6709;3591
1757000;251133;6303;3591
1764000;252120;6508;3591
1771000;253109;6519;3591
1778000;254100;7476;3591
1785000;255112;7409;3591
1792000;256102;6344;3591
1799000;257088;7061;3591
1806000;258091;6927;3591
1813000;259073;6635;3591
1820000;260068;5669;3591
1827000;261062;6591;3591
1834000;262058;6350;3591
1841000;263047;7714;3591
1848000;264034;6995;3591
1855000;265024;5860;3591
1862000;266002;6443;3591
1869000;266987;6694;3591
1876000;267974;6129;3591
1883000;268963;6782;3591
1890000;269954;5761;3591
1897000;270971;7076;3591
1904000;271965;5745;3591
1911000;272953;6385;3591
1918000;273941;6992;3591
1925000;274931;5864;3591
1932000;275920;6951;3556
1939000;276906;5849;3556
1946000;277898;6518;3556
1953000;278888;4973;3556
1960000;279880;6825;3556
1967000;280871;5877;3556
1974000;281864;7006;3556
1981000;282853;5624;3556
1988000;283841;6491;3556
1995000;284830;6098;3556
2002000;285835;8067;3556
2009000;286841;6438;3556
2016000;287830;6129;3556
2023000;288822;7239;3556
2030000;289810;6050;3556
2037000;290802;6881;3556
2044000;291791;7674;3556
2051000;292787;7404;3556
2058000;293775;6845;3556
2065000;294765;6206;3556
2072000;295751;6762;3556
2079000;296730;6141;3556
2086000;297706;7051;3556
2093000;298694;5555;3556
2100000;299689;7276;3556
2107000;300674;8102;3556
2114000;301742;7099;3556
2121000;302745;6892;3556
2128000;303734;6666;3556
2135000;304733;6870;3556
2142000;305725;6211;3556
2149000;306712;7562;3556
2156000;307695;7481;3556
2163000;308684;7368;3556
2170000;309669;6999;3556
2177000;310647;7468;3556
2184000;311634;6601;3556
2191000;312620;5744;3556
2198000;313614;6783;3556
2205000;314602;7718;3556
2212000;315589;6255;3556
2219000;316580;6822;3556
2226000;317685;5830;3556
2233000;319209;6364;3556
2240000;320612;5573;3556
2247000;321599;5888;3556
2254000;322658;5964;3556
2261000;323652;6877;3556
2268000;324641;6637;3556
2275000;325634;6702;3556
2282000;326624;6562;3556
2289000;327617;6613;3556
2296000;328612;6248;3556
2303000;329590;6660;3556
2310000;330573;6592;3556
2317000;331551;5439;3556
2324000;332534;6331;3556
2331000;333547;6820;3556
2338000;334538;7227;3556
2345000;335517;7641;3556
2352000;336508;6895;3556
2359000;337495;8030;3556
2366000;338483;6457;3556
2373000;339472;7602;3556
2380000;340459;8129;3556
2387000;341452;7647;3556
2394000;342433;6640;3556
2401000;343427;7718;3556
2408000;344416;5219;3556
2415000;345408;6424;3556
2422000;346397;6679;3556
2429000;347387;7129;3556
2436000;348419;6379;3556
2443000;349445;7011;3556
2450000;350433;7422;3556
2457000;351420;6535;3556
2464000;352409;7730;3556
2471000;353395;6871;3556
2478000;354384;7256;3556
2485000;355376;7270;3556
2492000;356365;7403;3556
2499000;357356;8117;3556
2506000;358338;5864;3556
2513000;359318;7800;3556
2520000;360309;6588;3556
2527000;361304;7679;3556
2534000;362289;5758;3556
2541000;363272;6017;3556
2548000;364263;6619;3556
2555000;365293;5539;3556
2562000;366274;5896;3556
2569000;367258;7193;3556
2576000;368246;6598;3556
2583000;369235;6013;3556
2590000;370219;6451;3556
2597000;371212;5997;3556
2604000;372205;7637;3556
2611000;373198;6658;3556
2618000;374193;7479;3556
2625000;375185;6038;3556
2632000;376180;5420;3556
2639000;377171;6625;3556
2646000;378167;5754;3556
2653000;379153;7231;3556
2660000;380145;6274;3556
2667000;381176;6967;3556
2674000;382166;5673;3556
2681000;383154;6253;3556
2688000;384146;6486;3556
2695000;385138;7556;3556
2702000;386127;5939;3556
2709000;387117;5454;3556
2716000;388104;8256;3556
2723000;389092;7151;3556
2730000;390076;6507;3556
2737000;391062;6315;3556
2744000;392049;6819;3556
2751000;393044;5700;3556
2758000;394034;6147;3556
2765000;395028;7356;3556
2772000;396017;7008;3556
2779000;397148;6973;3556
2786000;398160;6793;3556
2793000;399168;6997;3556
2800000;400170;6322;3556
2807000;401157;7861;3556
2814000;402154;5863;3556
2821000;403153;5988;3556
2828000;404149;6167;3556
2835000;405138;5806;3556
2842000;406131;6757;3556
2849000;407121;5195;3556
2856000;408110;5941;3556
2863000;409096;5127;3556
2870000;410084;6176;3556
2877000;411079;8622;3556
2884000;412206;6740;3556
2891000;413213;7314;3556
2898000;414197;5523;3556
2905000;415175;6893;3556
2912000;416154;6965;3556
2919000;417138;7503;3556
2926000;418129;6970;3556
2933000;419117;8007;3556
2940000;420103;7061;3556
2947000;421093;6355;3556
2954000;422085;6585;3556
2961000;423073;7709;3556
2968000;424068;6101;3556
2975000;425058;6774;3556
2982000;426045;6247;3556
2989000;427036;6882;3556
2996000;428056;7258;3556
3003000;429054;7998;3556
3010000;430274;7730;3556
3017000;431271;6262;3556
3024000;432250;7433;3556
3031000;433237;5291;3556
3038000;434228;7480;3556
3045000;435222;7576;3556
3052000;436211;7492;3556
3059000;437279;6004;3556
3066000;438293;5925;3556
3073000;439354;6585;3556
3080000;440342;5606;3556
3087000;441326;7395;3556
3094000;442310;6431;3556
3101000;443292;6976;3556
3108000;444341;5655;3556
3115000;445379;7440;3556
3122000;446369;5598;3556
3129000;447355;6290;3556
3136000;448346;7132;3556
3143000;449332;5605;3556
3150000;450320;6570;3556
3157000;451298;7732;3556
3164000;452292;6081;3556
3171000;453282;6939;3556
3178000;454275;7485;3556
3185000;455266;5479;3556
3192000;456259;5874;3556
3199000;457246;7999;3556
3206000;458230;6473;3556
3213000;459218;5827;3556
3220000;460269;7722;3556
3227000;461255;5873;3556
3234000;462239;7277;3556
3241000;463222;6935;3556
3248000;464212;7200;3556
3255000;465200;6827;3556
3262000;466187;5937;3556
3269000;467168;5985;3556
3276000;468157;6427;3556
3283000;469147;5483;3556
3290000;470137;6350;3556
3297000;471127;6356;3556
3304000;472115;4782;3556
3311000;473108;6282;3556
3318000;474093;8276;3556
3325000;475084;7443;3556
3332000;476103;5727;3556
3339000;477093;7079;3556
3346000;478089;7209;3556
3353000;479073;7560;3556
3360000;480059;7041;3556
3367000;481044;6561;3556
3374000;482033;6073;3556
3381000;483025;6814;3556
3388000;484012;5538;3556
3395000;485001;6711;3556
3402000;485987;6399;3556
3409000;486978;7200;3556
3416000;487953;6211;3556
3423000;488940;5898;3556
3430000;489929;6847;3556
3437000;492431;5557;3556
3444000;493418;7639;3556
3451000;494414;5364;3556
3458000;495401;7060;3556
3465000;496394;5436;3556
3472000;497384;5591;3556
3479000;498374;7771;3556
