Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
35500;8789;9753;2287
71000;17569;9570;2287
106500;26456;9284;2287
142000;34805;9716;2287
177500;43312;9332;2287
213000;51708;9585;2287
248500;60407;10238;2287
284000;68919;10090;2287
319500;77636;9125;2287
355000;86093;9588;2287
390500;94495;9566;2287
426000;102907;9737;2287
461500;111440;10412;2287
497000;119764;9611;2287
532500;128257;9082;2287
568000;136582;9225;2287
603500;144937;9946;2287
639000;153286;9329;2287
674500;161708;9682;2287
710000;170025;9340;2287
745500;178473;9805;2287
781000;186778;9945;2287
816500;195088;10297;2287
852000;203592;9854;2287
887500;211914;9366;2287
923000;220290;10258;2287
958500;228589;9760;2287
994000;237020;9274;2287
1029500;245478;8954;2287
1065000;253878;10119;2287
1100500;262253;9352;2287
1136000;270613;9839;2287
1171500;278973;10332;2287
1207000;287332;9908;2287
1242500;295680;10827;2287
1278000;304081;10342;2287
1313500;312426;9548;2287
1349000;320768;9868;2287
1384500;329186;9577;2287
1420000;337603;9545;2287
1455500;345824;10028;2287
1491000;354335;10135;2287
1526500;362557;10318;2287
1562000;371007;10259;2287
1597500;379225;9901;2287
1633000;387677;9945;2287
1668500;395988;9590;2287
1704000;404230;10179;2287
1739500;412610;9702;2287
1775000;420941;9804;2287
1810500;429360;10302;2287
1846000;437631;9743;2287
1881500;446032;9941;2287
1917000;454257;9962;2287
1952500;462810;9715;2287
1988000;471094;9762;2287
2023500;479500;9075;2287
2059000;487911;9696;2287
2094500;496265;9507;2287
2130000;504749;8214;2287
2165500;513253;9859;2287
2201000;521514;9971;2287
2236500;530001;9388;2287
2272000;538227;9471;2287
2307500;546814;9788;2287
2343000;555042;9905;2287
2378500;563499;9853;2287
2414000;571699;9865;2287
2449500;580700;10385;2287
2485000;588926;10163;2287
2520500;597691;10134;2287
2556000;605926;10128;2287
2591500;614668;9571;2287
2627000;622957;10256;2287
2662500;631698;10008;2287
2698000;640075;9488;2287
2733500;648746;9467;2287
2769000;657353;10008;2287
2804500;666182;9328;2287
2840000;674537;9718;2287
2875500;683106;9436;2287
2911000;691390;10001;2287
2946500;699851;9651;2287
2982000;708466;9665;2287
3017500;716885;9724;2287
3053000;725499;9533;2287
3088500;733785;10603;2287
3124000;742371;9043;2287
3159500;750610;10772;2287
3195000;759398;10032;2287
3230500;767654;9879;2287
3266000;776480;9861;2287
3301500;784840;9796;2287
3337000;793578;9560;2287
3372500;801849;8934;2287
3408000;810854;9522;2287
3443500;819408;9053;2287
3479000;828342;10359;2287
3514500;836723;9865;2287
3550000;845644;9427;2287
3585500;853768;9571;2287
3621000;862477;10280;2287
3656500;870651;9690;2287
3692000;879099;9747;2287
3727500;887311;9446;2287
3763000;895997;10068;2287
3798500;904111;8843;2287
3834000;912794;9877;2287
3869500;920971;9704;2287
3905000;929596;9943;2287
3940500;937901;10337;2287
3976000;946723;9794;2287
4011500;954955;10224;2287
4047000;963700;9529;2287
4082500;971886;10432;2287
4118000;980576;10092;2287
4153500;988775;10207;2287
4189000;997820;10772;2287
4224500;1006430;10190;2287
4260000;1014944;9645;2287
4295500;1023219;10002;2287
4331000;1031638;9186;2287
4366500;1039911;10054;2287
4402000;1048296;9894;2287
4437500;1056506;9591;2287
4473000;1064836;9899;2287
4508500;1073104;9153;2287
4544000;1081482;9321;2287
4579500;1089780;10186;2287
4615000;1098294;8866;2287
4650500;1106477;10135;2287
4686000;1115028;9795;2287
4721500;1123187;9427;2287
4757000;1131800;9427;2287
4792500;1140123;9752;2287
4828000;1148592;10776;2287
4863500;1156996;9312;2287
4899000;1165540;10319;2287
4934500;1173833;10023;2287
4970000;1182530;8884;2287
5005500;1190815;10061;2287
5041000;1199225;9537;2287
5076500;1207539;10166;2287
5112000;1216142;9891;2287
5147500;1224630;10440;2287
5183000;1233066;10031;2287
5218500;1241543;10233;2287
5254000;1250010;10105;2287
5289500;1258549;9668;2287
5325000;1266848;10166;2287
5360500;1275379;9630;2287
5396000;1283667;10125;2287
5431500;1292168;9389;2287
5467000;1300632;9516;2287
5502500;1309286;9539;2287
5538000;1317547;10065;2287
5573500;1326427;9437;2287
5609000;1334650;9923;2287
5644500;1342981;9990;2287
5680000;1351480;10294;2287
5715500;1359862;9610;2287
5751000;1368052;9599;2287
5786500;1376316;10100;2287
5822000;1384575;9659;2287
5857500;1392906;9545;2287
5893000;1401145;9296;2287
5928500;1409357;10542;2287
5964000;1417612;9954;2287
5999500;1426083;10426;2287
6035000;1434190;10027;2287
6070500;1442393;8902;2287
6106000;1450566;10380;2287
6141500;1458888;9631;2287
6177000;1467143;9820;2287
6212500;1475476;9113;2287
6248000;1483695;9058;2287
6283500;1491940;10025;2287
6319000;1500175;9702;2287
6354500;1508434;10069;2287
6390000;1516693;9349;2287
6425500;1524843;9911;2287
6461000;1533151;9283;2287
6496500;1541505;9346;2287
6532000;1549835;9358;2287
6567500;1558119;9971;2287
6603000;1566480;10449;2287
6638500;1574675;9289;2287
6674000;1583030;9513;2287
6709500;1591307;9626;2287
6745000;1599536;9354;2287
6780500;1607807;9747;2287
6816000;1616160;9704;2287
6851500;1624367;9271;2287
6887000;1632517;10428;2287
6922500;1640778;9547;2287
6958000;1649034;9162;2287
6993500;1657290;9288;2287
7029000;1665662;9696;2287
7064500;1673917;9884;2287
7100000;1682248;9844;2287
7135500;1690635;9607;2287
7171000;1698918;10129;2287
7206500;1707133;9084;2287
7242000;1715236;10317;2287
7277500;1723616;9909;2287
7313000;1731788;9684;2287
7348500;1740021;9661;2287
7384000;1748160;9258;2287
7419500;1756809;10041;2287
7455000;1765210;9642;2287
7490500;1773819;9812;2287
7526000;1782108;9422;2287
7561500;1790566;9836;2287
7597000;1798883;9480;2287
7632500;1807280;10320;2287
7668000;1815622;9628;2287
7703500;1824232;10161;2287
7739000;1832696;9212;2287
7774500;1840988;9293;2287
7810000;1849308;8985;2287
7845500;1857639;9726;2287
7881000;1866197;10545;2287
7916500;1874520;9549;2287
7952000;1882740;9905;2287
7987500;1891019;9964;2287
8023000;1899268;9538;2287
8058500;1907438;8904;2287
8094000;1915636;8792;2287
8129500;1923883;9495;2287
8165000;1932218;9982;2287
8200500;1940362;9631;2287
8236000;1948641;10471;2287
8271500;1956904;10049;2287
8307000;1965272;10366;2287
8342500;1973652;9518;2287
8378000;1981760;9402;2287
8413500;1990016;10334;2287
8449000;1998240;9269;2287
8484500;2006681;9442;2287
8520000;2014862;9139;2287
8555500;2023032;9704;2287
8591000;2031282;9263;2287
