Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
22900;11892;1426625;1229890
45800;23507;1349293;1229890
68700;34285;1334608;1229890
91600;45150;1302347;1196304
114500;55922;1345635;1196304
137400;66609;1399073;1196304
160300;77615;1368037;1185014
183200;88569;1317179;1185014
206100;99294;1410959;1185014
229000;109973;1309825;1185014
251900;120757;1350411;1185014
274800;131346;1318418;1185014
297700;141957;1416557;1185014
320600;152504;1294362;1179362
343500;163388;1392723;1179362
366400;174401;1374553;1174556
389300;185111;1329115;1174556
412200;195834;1315003;1174556
435100;206564;1357676;1174556
458000;217384;1218497;1174556
480900;228201;1268342;1174556
503800;239010;1290209;1174556
526700;249869;1338275;1174556
549600;260438;1238557;1174556
572500;271154;1340346;1174556
595400;281892;1352630;1174556
618300;293076;1305546;1138927
641200;303782;1304730;1138927
664100;314329;1330331;1137789
687000;325559;1357817;1137789
709900;336118;1327796;1137789
732800;346848;1391895;1137789
755700;357721;1255350;1137789
778600;368539;1284906;1137789
801500;379347;1271045;1115701
824400;390281;1265473;1115701
847300;401176;1290768;1115701
870200;411848;1319795;1099554
893100;422799;1270398;1099554
916000;433596;1335969;1099554
938900;444515;1253424;1099554
961800;455279;1238072;1095240
984700;465983;1217396;1095240
1007600;476664;1236356;1080758
1030500;487629;1202972;1080758
1053400;499036;1177908;1049317
1076300;510641;1274092;1049317
1099200;521486;1210118;1049317
1122100;532202;1266661;1026551
1145000;542868;1173397;1026551
1167900;553532;1181065;1023414
1190800;564413;1060124;1020223
1213700;575359;1154078;978445
1236600;586111;1123689;978445
1259500;597052;1129375;964702
1282400;607705;1069835;953822
1305300;618435;1044712;953822
1328200;629477;1025072;953822
1351100;640240;1055519;919916
1374000;651130;1027932;905930
1396900;661951;975518;898497
1419800;672863;1057502;894693
1442700;683852;910855;837271
1465600;694849;937662;837271
1488500;705802;826385;824661
1511400;717327;968948;793580
1534300;728672;829183;766668
1557200;739582;907310;766668
1580100;751173;883807;764879
1603000;762315;741670;709251
1625900;773143;828261;709251
1648800;784389;860977;709251
1671700;795477;797841;709251
1694600;806555;743988;657162
1717500;817520;689933;630437
1740400;828632;740995;624527
1763300;839847;679851;609468
1786200;851034;626754;580491
1809100;861973;627021;580491
1832000;873175;611074;567329
1854900;884203;599402;567329
1877800;895379;599678;534453
1900700;906454;577166;514623
1923600;917317;579639;514623
1946500;928288;536449;491761
1969400;939359;534404;478466
1992300;950491;492701;459822
2015200;961596;522505;443144
2038100;972763;470845;434776
2061000;983885;453630;414441
2083900;994982;436589;403163
2106800;1005854;433200;402556
2129700;1018224;388453;362891
2152600;1029424;391993;362891
2175500;1040550;374989;357460
2198400;1051507;355252;336719
2221300;1062824;336390;334144
2244200;1073678;332721;311503
2267100;1084567;320093;310301
2290000;1095655;305168;292714
2312900;1106510;284619;279301
2335800;1117764;285569;279301
2358700;1128626;287853;276154
2381600;1139397;264519;264519
2404500;1150376;285687;259823
2427400;1161252;252444;244127
2450300;1172376;253631;237164
2473200;1183448;243861;237164
2496100;1194328;239754;233716
2519000;1205184;237191;224990
2541900;1216143;227238;224623
2564800;1227041;234183;224623
2587700;1237789;215047;211711
2610600;1248687;218254;209839
2633500;1259736;206248;203071
2656400;1270572;197119;193980
2679300;1281739;195752;192924
2702200;1292600;192420;186920
2725100;1303772;184168;183815
2748000;1314617;183943;181268
2770900;1325425;190056;180262
