Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
159000;94910;565797;49201
318000;190432;580437;49201
477000;285248;606826;49201
636000;380153;573765;49201
795000;475621;582900;49201
954000;570521;585437;49201
1113000;665620;584406;49201
1272000;760559;613225;49201
1431000;855893;596427;49201
1590000;951459;566064;49201
1749000;1046988;581177;49201
1908000;1142328;607486;49201
2067000;1238283;595651;49201
2226000;1332943;581175;49201
2385000;1428076;592338;49201
2544000;1524032;590125;49201
2703000;1619074;589811;49201
2862000;1714204;602864;49201
3021000;1812149;586063;49201
3180000;1913867;572810;49201
3339000;2023822;590885;49201
3498000;2123979;575540;49201
3657000;2222825;596336;49201
3816000;2328459;590475;49201
3975000;2425678;586916;49201
4134000;2533085;585972;49201
4293000;2629769;580078;49201
4452000;2726152;601145;49201
4611000;2822262;590117;49201
4770000;2918230;573718;49201
4929000;3014849;591836;49201
5088000;3110496;587035;49201
5247000;3205317;566466;49201
5406000;3300815;604159;49201
5565000;3395888;599816;49201
5724000;3490722;567318;49201
5883000;3585240;591646;49201
6042000;3679872;601500;49201
6201000;3774794;594738;49201
6360000;3870145;579134;49201
6519000;3966060;568816;49201
6678000;4061345;590307;49201
6837000;4156550;578887;49201
6996000;4252639;624569;49201
7155000;4348111;602106;49201
7314000;4443319;580352;49201
7473000;4539385;588497;49201
7632000;4634875;592826;49201
7791000;4730787;588606;49201
7950000;4826209;606034;49201
8109000;4922146;609949;49201
8268000;5018304;578806;49201
8427000;5114340;588564;49201
8586000;5209708;593785;49201
8745000;5304511;590044;49201
8904000;5404969;594520;49201
9063000;5506007;577044;49201
9222000;5606277;613488;49201
9381000;5701550;600198;49201
9540000;5796789;595312;49201
9699000;5892751;570319;49201
9858000;5987822;584303;49201
10017000;6082490;593715;49201
10176000;6177677;580610;49201
10335000;6272613;577744;49201
10494000;6367960;573761;49201
10653000;6463173;574205;49201
10812000;6559452;587195;49201
10971000;6654543;602501;49201
11130000;6750049;594472;49201
11289000;6844326;581960;49201
11448000;6939174;600507;49201
11607000;7033341;570839;49201
11766000;7129299;586869;49201
11925000;7225036;581959;49201
12084000;7320373;587278;49201
12243000;7415351;564037;49201
12402000;7510578;597191;49201
12561000;7606198;601449;49201
12720000;7700432;618955;49201
12879000;7794473;578127;49201
13038000;7890053;571078;49201
13197000;7984993;571233;49201
13356000;8080728;594672;49201
13515000;8176204;592619;49201
13674000;8271749;607729;49201
13833000;8366242;581144;49201
13992000;8460684;592723;49201
14151000;8555208;571738;49201
14310000;8650480;592585;49201
14469000;8746166;592926;49201
14628000;8841619;588594;49201
14787000;8937028;577800;49201
14946000;9032174;593203;49201
15105000;9128654;583478;49201
15264000;9224111;598389;49201
15423000;9319506;587797;49201
15582000;9414825;584607;49201
15741000;9509911;580005;49201
15900000;9604459;598518;49201
16059000;9700955;592332;49201
16218000;9795506;600735;49201
16377000;9890497;552547;49201
16536000;9985252;622356;49201
16695000;10079082;569804;49201
16854000;10174375;600837;49201
17013000;10270135;591813;49201
17172000;10364920;560392;49201
17331000;10459633;584366;49201
17490000;10554809;594999;49201
17649000;10649349;602421;49201
17808000;10745317;568138;49201
17967000;10840074;611182;49201
18126000;10934545;598378;49201
18285000;11029547;567301;49201
18444000;11128956;581650;49201
18603000;11228478;576249;49201
18762000;11325625;574710;49201
18921000;11420328;590378;49201
19080000;11515011;580857;49201
19239000;11610695;594663;49201
19398000;11705148;613516;49201
19557000;11800382;573013;49201
19716000;11895476;598406;49201
19875000;11989691;591261;49201
20034000;12084715;606130;49201
20193000;12179584;593928;49201
20352000;12276063;580404;49201
20511000;12371563;601792;49201
20670000;12467264;587806;49201
20829000;12563082;569152;49201
20988000;12658896;563280;49201
21147000;12754684;589652;49201
21306000;12850822;591687;49201
21465000;12947164;592613;49201
21624000;13042100;579827;49201
21783000;13137573;576035;49201
21942000;13232716;600898;49201
22101000;13328975;583889;49201
22260000;13422826;580870;49201
22419000;13517085;574277;49201
22578000;13611123;586191;49201
22737000;13705184;584628;49201
22896000;13799383;590110;49201
23055000;13895926;580464;49201
23214000;13990592;592393;49201
23373000;14085556;603229;49201
23532000;14180743;588669;49201
23691000;14276388;605883;49201
23850000;14371759;611426;49201
24009000;14466655;591709;49201
24168000;14560852;602179;49201
24327000;14655731;577648;49201
24486000;14750077;606432;49201
