Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
62000;21097;695437;67055
124000;41046;658868;67055
186000;60939;716909;67055
248000;80534;719723;67055
310000;100021;691515;67055
372000;120021;633845;67055
434000;139897;748511;67055
496000;159677;660518;67055
558000;179309;721365;67055
620000;198859;666971;67055
682000;218767;646313;67055
744000;238411;663062;67055
806000;257843;691946;67055
868000;277486;728353;67055
930000;297006;680324;67055
992000;316373;693710;67055
1054000;336987;675482;67055
1116000;356720;679309;67055
1178000;376259;707807;67055
1240000;395884;693062;67055
1302000;415539;735192;67055
1364000;435349;676940;67055
1426000;454974;690825;67055
1488000;474921;711420;67055
1550000;494594;706634;67055
1612000;514105;673740;67055
1674000;534035;718646;67055
1736000;554094;703987;67055
1798000;573935;708717;67055
1860000;593596;693125;67055
1922000;613304;707004;67055
1984000;632942;668253;67055
2046000;653210;672151;67055
2108000;672992;648188;67055
2170000;692453;732330;67055
2232000;712258;694304;67055
2294000;732023;712443;67055
2356000;751905;702177;67055
2418000;771955;645610;67055
2480000;791460;715969;67055
2542000;810921;699838;67055
2604000;830335;675729;67055
2666000;849514;669749;67055
2728000;869238;706082;67055
2790000;888405;695014;67055
2852000;908421;712995;67055
2914000;927899;686788;67055
2976000;947416;677308;67055
3038000;967139;672853;67055
3100000;986724;718598;67055
3162000;1006938;659153;67055
3224000;1026772;713674;67055
3286000;1047659;665655;67055
3348000;1067340;650504;67055
3410000;1086936;665961;67055
3472000;1106574;662122;67055
3534000;1126234;649937;67055
3596000;1146277;667820;67055
3658000;1165845;703403;67055
3720000;1186024;663738;67055
3782000;1205673;698762;67055
3844000;1225125;634594;67055
3906000;1244498;687220;67055
3968000;1264109;674566;67055
4030000;1284055;729515;67055
4092000;1303785;688051;67055
4154000;1323886;737069;67055
4216000;1343552;655466;67055
4278000;1363224;711026;67055
4340000;1382704;703212;67055
4402000;1402308;721206;67055
4464000;1422172;694460;67055
4526000;1441600;687786;67055
4588000;1461118;729655;67055
4650000;1480713;690735;67055
4712000;1500105;726726;67055
4774000;1519502;720184;67055
4836000;1539063;706903;67055
4898000;1558318;677376;67055
4960000;1577971;697203;67055
5022000;1597290;659777;67055
5084000;1616548;666754;67055
5146000;1635921;701309;67055
5208000;1655392;644449;67055
5270000;1674916;691123;67055
5332000;1694384;711374;67055
5394000;1713884;692922;67055
5456000;1733454;678038;67055
5518000;1753083;664100;67055
5580000;1772645;713265;67055
5642000;1792029;671433;67055
5704000;1811266;711916;67055
5766000;1830653;685997;67055
5828000;1849995;661872;67055
5890000;1869379;721649;67055
5952000;1888807;676107;67055
6014000;1908109;704688;67055
6076000;1927521;663580;67055
6138000;1946790;656566;67055
6200000;1966217;698340;67055
6262000;1985547;714849;67055
6324000;2004951;692124;67055
6386000;2024286;745072;67055
6448000;2043894;630920;67055
6510000;2063655;675307;67055
6572000;2083273;750846;67055
6634000;2102726;729233;67055
6696000;2122119;707206;67055
6758000;2141708;673082;67055
6820000;2160929;656768;67055
6882000;2180111;654980;67055
6944000;2199741;678233;67055
7006000;2219007;665600;67055
7068000;2238411;707733;67055
7130000;2257605;692791;67055
7192000;2276952;734318;67055
7254000;2296190;725815;67055
7316000;2315853;676121;67055
7378000;2335141;703221;67055
7440000;2354449;742489;67055
7502000;2373878;712128;67055
7564000;2393377;756227;67055
7626000;2412885;698880;67055
7688000;2432254;669786;67055
7750000;2451459;753137;67055
7812000;2471108;697504;67055
7874000;2490680;681613;67055
7936000;2510230;690243;67055
7998000;2530015;648147;67055
8060000;2549902;732581;67055
8122000;2569627;634827;67055
8184000;2589274;622373;67055
8246000;2608672;681073;67055
8308000;2628244;649675;67055
8370000;2648213;660844;67055
8432000;2667769;596749;67055
8494000;2687376;715175;67055
8556000;2706952;663852;67055
8618000;2726601;693089;67055
8680000;2746035;702301;67055
8742000;2765784;669258;67055
8804000;2785776;713407;67055
8866000;2805239;766570;67055
8928000;2824641;732751;67055
8990000;2844192;654590;67055
9052000;2864092;752550;67055
9114000;2883725;703527;67055
9176000;2903564;672006;67055
9238000;2923239;729557;67055
9300000;2942725;678885;67055
9362000;2962286;671437;67055
9424000;2981760;708052;67055
9486000;3001872;701215;67055
9548000;3021501;697590;67055
9610000;3042191;697877;67055
9672000;3063171;715760;67055
9734000;3082991;637479;67055
9796000;3102788;715386;67055
9858000;3122215;669451;67055
9920000;3141891;685456;67055
9982000;3161528;703015;67055
10044000;3181152;705303;67055
10106000;3200855;701810;67055
10168000;3220467;672060;67055
10230000;3240448;772895;67055
10292000;3260090;666542;67055
10354000;3279700;694817;67055
10416000;3299399;745677;67055
10478000;3318915;681093;67055
10540000;3338494;690358;67055
10602000;3358134;687500;67055
10664000;3377602;737917;67055
10726000;3397731;738325;67055
10788000;3417535;693577;67055
10850000;3437041;662988;67055
10912000;3456774;732798;67055
10974000;3477296;686088;67055
11036000;3496966;735751;67055
11098000;3516738;710484;67055
11160000;3536844;688051;67055
11222000;3556247;721233;67055
11284000;3575756;627534;67055
11346000;3595154;683595;67055
11408000;3614603;716397;67055
11470000;3634062;662966;67055
11532000;3653693;680209;67055
11594000;3673313;671041;67055
11656000;3692544;708447;67055
11718000;3712010;708141;67055
11780000;3731599;667662;67055
11842000;3750997;693684;67055
11904000;3770347;690466;67055
11966000;3790109;677558;67055
12028000;3809865;672814;67055
12090000;3829552;717856;67055
12152000;3849309;665066;67055
12214000;3868836;668706;67055
12276000;3888174;664073;67055
12338000;3907495;670798;67055
12400000;3927205;734829;67055
12462000;3947060;731724;67055
12524000;3966785;679594;67055
12586000;3986561;763001;67055
12648000;4006265;699827;67055
12710000;4025767;742459;67055
12772000;4045953;704321;67055
12834000;4065895;678614;67055
12896000;4085629;678119;67055
12958000;4105484;686762;67055
13020000;4125991;731386;67055
13082000;4145802;673945;67055
13144000;4168475;732734;67055
13206000;4189098;668517;67055
13268000;4208677;677321;67055
13330000;4228255;699420;67055
13392000;4247838;678971;67055
13454000;4267445;750974;67055
13516000;4287355;670916;67055
13578000;4307263;672015;67055
13640000;4327108;666868;67055
13702000;4346876;739512;67055
13764000;4366481;691057;67055
13826000;4386318;702344;67055
13888000;4405798;693700;67055
13950000;4425763;723336;67055
14012000;4445393;719811;67055
14074000;4465310;651578;67055
14136000;4484961;692013;67055
14198000;4504655;673776;67055
14260000;4524559;628372;67055
14322000;4544206;691111;67055
14384000;4564149;643576;67055
14446000;4583726;664863;67055
14508000;4603615;702573;67055
14570000;4623467;737855;67055
14632000;4643207;716405;67055
14694000;4662875;670390;67055
14756000;4682757;669681;67055
14818000;4702234;659375;67055
14880000;4722156;662673;67055
14942000;4741928;737746;67055
15004000;4762412;755747;67055
15066000;4782462;694648;67055
15128000;4802106;689304;67055
15190000;4822139;668650;67055
15252000;4841990;694116;67055
15314000;4861839;716316;67055
15376000;4881757;731034;67055
15438000;4901755;634567;67055
15500000;4921934;743299;67055
15562000;4941898;714674;67055
15624000;4962024;709813;67055
15686000;4981958;623177;67055
15748000;5001639;683569;67055
15810000;5021583;722875;67055
15872000;5041596;714388;67055
15934000;5061794;731394;67055
15996000;5081616;696465;67055
16058000;5101592;677135;67055
16120000;5121398;676696;67055
16182000;5141048;683234;67055
16244000;5160864;746053;67055
16306000;5180774;699679;67055
16368000;5200485;687162;67055
16430000;5220276;709000;67055
16492000;5240415;679163;67055
16554000;5260198;703341;67055
16616000;5280028;656637;67055
16678000;5299474;673757;67055
16740000;5319148;650115;67055
16802000;5338837;694115;67055
16864000;5358628;649515;67055
