Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
44300;36354;8346;3858
88600;72405;8164;3858
132900;108650;8166;3858
177200;144593;8377;3858
221500;181413;8256;3858
265800;218444;8389;3858
310100;254724;8356;3858
354400;290542;8290;3858
398700;326545;8212;3858
443000;362519;8221;3858
487300;398429;8240;3858
531600;434632;8389;3858
575900;471158;8546;3858
620200;507170;8215;3858
664500;543431;8091;3858
708800;579479;8071;3858
753100;615273;8354;3858
797400;651499;8433;3858
841700;688960;8240;3858
886000;725194;8191;3858
930300;762228;8171;3858
974600;798744;8643;3858
1018900;835240;8183;3858
1063200;874276;8410;3858
1107500;910852;8480;3858
1151800;946971;8244;3858
1196100;983157;8341;3858
1240400;1019584;8335;3858
1284700;1056137;8341;3858
1329000;1092643;8265;3858
1373300;1129256;8292;3858
1417600;1165579;7944;3858
1461900;1202299;8382;3858
1506200;1240433;8448;3858
1550500;1276991;8282;3858
1594800;1313834;8116;3858
1639100;1351208;8497;3858
1683400;1388029;8149;3858
1727700;1425279;8390;3858
1772000;1463766;8097;3858
1816300;1501348;8214;3858
1860600;1539937;8299;3858
1904900;1576578;8327;3858
1949200;1612875;8315;3858
1993500;1648634;8338;3858
2037800;1685084;8174;3858
2082100;1720931;8249;3858
2126400;1756868;8048;3858
2170700;1792790;8368;3858
2215000;1828799;8157;3858
2259300;1864814;8251;3858
2303600;1900929;8141;3858
2347900;1936941;8344;3858
2392200;1972596;8081;3858
2436500;2008821;8291;3858
2480800;2067106;8385;3858
2525100;2107352;8304;3858
2569400;2143904;8204;3858
2613700;2180314;8243;3858
2658000;2217048;8407;3858
2702300;2252996;8231;3858
2746600;2288684;8227;3858
2790900;2324963;8175;3858
2835200;2360669;8330;3858
2879500;2396452;8144;3858
2923800;2432808;8215;3858
2968100;2469251;8365;3858
3012400;2505001;8378;3858
3056700;2541919;8313;3858
3101000;2577983;8128;3858
3145300;2613804;8181;3858
3189600;2649641;8175;3858
3233900;2685610;8336;3858
3278200;2721496;8335;3858
3322500;2757602;8174;3858
3366800;2793292;8360;3858
3411100;2829311;8073;3858
3455400;2867884;8519;3858
3499700;2903414;8384;3858
3544000;2939101;8299;3858
3588300;2975350;8445;3858
3632600;3011555;8154;3858
3676900;3047863;7982;3858
3721200;3084472;8293;3858
3765500;3120709;8139;3858
3809800;3158747;8152;3858
3854100;3194979;8227;3858
3898400;3231266;8291;3858
3942700;3267887;8419;3858
3987000;3303917;8385;3858
4031300;3339779;8360;3858
4075600;3375844;8314;3858
4119900;3412152;8238;3858
4164200;3447998;8503;3858
4208500;3483994;8281;3858
4252800;3520011;8245;3858
4297100;3556951;8392;3858
4341400;3593347;8194;3858
4385700;3629318;7988;3858
4430000;3665587;8218;3858
4474300;3701396;8181;3858
4518600;3737438;8238;3858
4562900;3773017;7969;3858
4607200;3808949;8106;3858
4651500;3844793;8383;3858
4695800;3880443;8317;3858
4740100;3916697;8108;3858
4784400;3952860;8342;3858
4828700;3988740;8036;3858
4873000;4025244;8054;3858
4917300;4062276;8226;3858
4961600;4098108;8164;3858
5005900;4133760;8082;3858
5050200;4169416;8424;3858
5094500;4205310;8245;3858
5138800;4241535;8465;3858
5183100;4277404;8249;3858
5227400;4313309;8064;3858
5271700;4349037;8164;3858
5316000;4384858;8207;3858
5360300;4420948;7955;3858
5404600;4457026;8315;3858
5448900;4492859;8360;3858
5493200;4528871;8275;3858
5537500;4564835;8265;3858
5581800;4600853;8371;3858
5626100;4636830;8242;3858
5670400;4672749;8109;3858
5714700;4708780;8042;3858
5759000;4744755;8006;3858
5803300;4780711;8339;3858
5847600;4816483;8167;3858
5891900;4852776;8279;3858
5936200;4888651;8120;3858
5980500;4924326;8301;3858
6024800;4960271;8424;3858
6069100;4997781;7801;3858
6113400;5033581;8431;3858
6157700;5069952;8457;3858
6202000;5105813;8051;3858
6246300;5141635;8142;3858
6290600;5177649;8122;3858
6334900;5213406;8303;3858
6379200;5250652;8123;3858
6423500;5288225;8214;3858
6467800;5323755;8074;3858
6512100;5359589;8119;3858
6556400;5396404;8053;3858
6600700;5432936;7854;3858
6645000;5469758;8229;3858
6689300;5506736;8267;3858
6733600;5543527;8139;3858
6777900;5580588;7753;3858
6822200;5617770;7873;3858
6866500;5654281;7923;3858
6910800;5690795;7855;3858
6955100;5727153;8116;3858
6999400;5762790;7732;3858
7043700;5798785;7846;3858
7088000;5834982;7839;3858
7132300;5870761;7932;3858
7176600;5906634;7954;3858
7220900;5943338;7802;3858
7265200;5979022;7981;3858
7309500;6015018;7880;3858
7353800;6051374;7649;3858
7398100;6086883;7806;3858
7442400;6122527;7780;3858
7486700;6158437;7837;3858
7531000;6194301;7485;3858
7575300;6230437;7971;3858
7619600;6266800;7781;3858
7663900;6303885;7701;3858
7708200;6340199;7695;3858
7752500;6376697;7500;3858
7796800;6414273;7728;3858
7841100;6450687;7353;3858
7885400;6486672;7576;3858
7929700;6522970;7263;3858
7974000;6559353;7343;3858
8018300;6596524;7623;3858
8062600;6634603;7215;3858
8106900;6672920;7309;3858
8151200;6709377;7116;3858
8195500;6745011;7012;3858
8239800;6780455;7023;3858
8284100;6815976;6974;3858
8328400;6851492;6924;3858
8372700;6886951;6889;3858
8417000;6922492;6672;3858
8461300;6957845;6759;3858
8505600;6992982;6784;3858
8549900;7028678;6641;3858
8594200;7063905;6437;3858
8638500;7099761;6166;3858
8682800;7135769;6318;3858
8727100;7174362;6102;3858
8771400;7210135;5948;3858
8815700;7247319;6042;3858
8860000;7284162;5932;3858
8904300;7321263;5808;3858
8948600;7356883;5780;3858
8992900;7392265;5704;3858
9037200;7427853;5515;3858
9081500;7463027;5452;3858
9125800;7498465;5285;3858
9170100;7533686;5083;3858
9214400;7569879;5253;3858
9258700;7605053;5156;3858
9303000;7640284;5183;3858
9347300;7676189;4837;3858
9391600;7711223;4785;3858
9435900;7746343;4762;3858
9480200;7781409;4823;3858
9524500;7816757;4409;3858
9568800;7851680;4556;3858
9613100;7886414;4356;3858
9657400;7921461;4256;3858
9701700;7956503;4245;3858
9746000;7991294;4059;3858
9790300;8026226;4047;3858
9834600;8060963;3917;3796
