Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
br17;17;swap;geometric;0.9;1700;TAK;3787;40;39;2.564103;27030
br17;17;invert;geometric;0.9;1700;TAK;1826;39;39;0.000000;10377
br17;17;insert;geometric;0.9;1700;TAK;1893;39;39;0.000000;11303
br17;17;swap;geometric;0.95;1700;TAK;27521;39;39;0.000000;181853
br17;17;invert;geometric;0.95;1700;TAK;29998;39;39;0.000000;194557
br17;17;invert;geometric;0.95;8500;TAK;36273;39;39;0.000000;242606
br17;17;insert;geometric;0.95;8500;TAK;38586;39;39;0.000000;244157
br17;17;insert;geometric;0.95;8500;TAK;145775;39;39;0.000000;951545
br17;17;insert;geometric;0.95;17000;TAK;41134;39;39;0.000000;270085
br17;17;insert;geometric;0.95;170000;TAK;50800;39;39;0.000000;336450
br17;17;insert;geometric;0.9;85000;TAK;27122;39;39;0.000000;162776
br17;17;insert;geometric;0.99;85000;TAK;213885;39;39;0.000000;1435392
br17;17;insert;geometric;0.999;85000;TAK;1359628;39;39;0.000000;8603615
br17;17;swap;logarithmic;1;85000;TAK;3783495;42;39;7.692308;27797106
br17;17;invert;logarithmic;1;85000;TAK;2538361;42;39;7.692308;17000001
br17;17;insert;logarithmic;1;85000;TAK;4180816;42;39;7.692308;27840172
br17;17;insert;logarithmic;1;85000;TAK;2945947;44;39;12.820513;19840900
br17;17;insert;logarithmic;1;170000;TAK;7005318;40;39;2.564103;44994979
