Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
burma14;14;swap;geometric;0.9;1400;TAK;769;3323;3323;0.000000;4693
burma14;14;invert;geometric;0.9;1400;TAK;728;3323;3323;0.000000;4510
burma14;14;insert;geometric;0.9;1400;TAK;709;3323;3323;0.000000;4114
burma14;14;swap;geometric;0.95;1400;TAK;9362;3323;3323;0.000000;65805
burma14;14;invert;geometric;0.95;1400;TAK;11159;3323;3323;0.000000;73202
burma14;14;invert;geometric;0.95;7000;TAK;17543;3323;3323;0.000000;118136
burma14;14;insert;geometric;0.95;7000;TAK;19032;3323;3323;0.000000;119646
burma14;14;insert;geometric;0.95;7000;TAK;74731;3323;3323;0.000000;491131
burma14;14;insert;geometric;0.95;14000;TAK;21293;3323;3323;0.000000;142946
burma14;14;insert;geometric;0.95;140000;TAK;29734;3323;3323;0.000000;202136
burma14;14;insert;geometric;0.9;70000;TAK;13262;3323;3323;0.000000;85200
burma14;14;insert;geometric;0.99;70000;TAK;135730;3323;3323;0.000000;902938
burma14;14;insert;geometric;0.999;70000;TAK;1226824;3323;3323;0.000000;8531141
burma14;14;swap;logarithmic;1;70000;TAK;2184078;3455;3323;3.972314;16644699
burma14;14;invert;logarithmic;1;70000;TAK;2965117;3480;3323;4.724646;21635581
burma14;14;insert;logarithmic;1;70000;TAK;3123173;3404;3323;2.437556;21585003
burma14;14;insert;logarithmic;1;70000;TAK;3522364;3449;3323;3.791754;24621247
burma14;14;insert;logarithmic;1;140000;TAK;2268590;3556;3323;7.011736;15930173
