Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
ftv170;171;swap;geometric;0.9;17100;TAK;103501;3582;2755;30.018149;307800
ftv170;171;invert;geometric;0.9;17100;TAK;110583;3582;2755;30.018149;307800
ftv170;171;insert;geometric;0.9;17100;TAK;114033;3582;2755;30.018149;307800
ftv170;171;swap;geometric;0.95;17100;TAK;2095436;3582;2755;30.018149;6327000
ftv170;171;invert;geometric;0.95;17100;TAK;2268015;3582;2755;30.018149;6327000
ftv170;171;invert;geometric;0.95;85500;TAK;2457227;3582;2755;30.018149;6857100
ftv170;171;insert;geometric;0.95;85500;TAK;2609013;3292;2755;19.491833;6857100
ftv170;171;insert;geometric;0.95;85500;TAK;13089968;2977;2755;8.058076;34285500
ftv170;171;insert;geometric;0.95;171000;TAK;2607830;3106;2755;12.740472;7096500
ftv170;171;insert;geometric;0.95;1.71e+06;TAK;2965164;3360;2755;21.960073;7866000
ftv170;171;insert;geometric;0.9;855000;TAK;1400360;3464;2755;25.735027;3727800
ftv170;171;insert;geometric;0.99;855000;TAK;14506899;3119;2755;13.212341;38919600
ftv170;171;insert;geometric;0.999;855000;TAK;68686923;3582;2755;30.018149;171000000
ftv170;171;swap;logarithmic;1;855000;TAK;60487831;3582;2755;30.018149;171000000
ftv170;171;invert;logarithmic;1;855000;TAK;63434856;3582;2755;30.018149;171000000
ftv170;171;insert;logarithmic;1;855000;TAK;67609292;3582;2755;30.018149;171000000
ftv170;171;insert;logarithmic;1;855000;TAK;66229080;3582;2755;30.018149;171000000
ftv170;171;insert;logarithmic;1;1.71e+06;TAK;68015475;3582;2755;30.018149;171000000
ftv170;171;invert;geometric;0.95;85500;NIE;2441052;7632;2755;177.023593;6857100
ftv170;171;insert;geometric;0.95;85500;NIE;2554042;3285;2755;19.237750;6857100
