Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
gr229;229;swap;geometric;0.9;22900;TAK;169630;157394;134602;16.932884;419070
gr229;229;invert;geometric;0.9;22900;TAK;180390;147846;134602;9.839378;419070
gr229;229;insert;geometric;0.9;22900;TAK;188536;157394;134602;16.932884;419070
gr229;229;swap;geometric;0.95;22900;TAK;3483380;157394;134602;16.932884;8610400
gr229;229;invert;geometric;0.95;22900;TAK;3653161;136755;134602;1.599530;8610400
gr229;229;invert;geometric;0.95;114500;TAK;3996921;137203;134602;1.932364;9320300
gr229;229;insert;geometric;0.95;114500;TAK;4193255;144221;134602;7.146253;9320300
gr229;229;insert;geometric;0.95;114500;TAK;20721205;141235;134602;4.927861;46601500
gr229;229;insert;geometric;0.95;229000;TAK;4294786;142715;134602;6.027399;9640900
gr229;229;insert;geometric;0.95;2.29e+06;TAK;4830382;139570;134602;3.690881;10671400
gr229;229;insert;geometric;0.9;1.145e+06;TAK;2242960;148802;134602;10.549620;5038000
gr229;229;insert;geometric;0.99;1.145e+06;TAK;23636938;144493;134602;7.348331;52784500
gr229;229;insert;geometric;0.999;1.145e+06;TAK;212888102;136436;134602;1.362535;473061937
gr229;229;swap;logarithmic;1;1.145e+06;TAK;99012512;157394;134602;16.932884;229000000
gr229;229;invert;logarithmic;1;1.145e+06;TAK;104781959;157394;134602;16.932884;229000000
gr229;229;insert;logarithmic;1;1.145e+06;TAK;106906027;157394;134602;16.932884;229000000
gr229;229;insert;logarithmic;1;1.145e+06;TAK;107485908;157394;134602;16.932884;229000000
gr229;229;insert;logarithmic;1;2.29e+06;TAK;107490679;157394;134602;16.932884;229000000
gr229;229;invert;geometric;0.95;114500;NIE;4056203;137674;134602;2.282284;9320300
gr229;229;insert;geometric;0.95;114500;NIE;4277079;144490;134602;7.346102;9320300
