Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
lin318;318;swap;geometric;0.9;31800;TAK;317556;49201;42029;17.064408;591480
lin318;318;invert;geometric;0.9;31800;TAK;332268;45396;42029;8.011135;591480
lin318;318;insert;geometric;0.9;31800;TAK;345696;49201;42029;17.064408;591480
lin318;318;swap;geometric;0.95;31800;TAK;6425722;49201;42029;17.064408;12147600
lin318;318;invert;geometric;0.95;31800;TAK;6877814;44180;42029;5.117895;12147600
lin318;318;invert;geometric;0.95;159000;TAK;7374584;43707;42029;3.992481;13165200
lin318;318;insert;geometric;0.95;159000;TAK;7592095;47911;42029;13.995099;13165200
lin318;318;insert;geometric;0.95;159000;TAK;37803563;45938;42029;9.300721;65826000
lin318;318;insert;geometric;0.95;318000;TAK;7869198;47731;42029;13.566823;13578600
lin318;318;insert;geometric;0.95;3.18e+06;TAK;8589268;47447;42029;12.891099;15009600
lin318;318;insert;geometric;0.9;1.59e+06;TAK;4060629;49201;42029;17.064408;7091400
lin318;318;insert;geometric;0.99;1.59e+06;TAK;43312108;47531;42029;13.090961;74348400
lin318;318;insert;geometric;0.999;1.59e+06;TAK;190200327;49201;42029;17.064408;318000000
lin318;318;swap;logarithmic;1;1.59e+06;TAK;177480710;49201;42029;17.064408;318000000
lin318;318;invert;logarithmic;1;1.59e+06;TAK;960469161;49201;42029;17.064408;63508279
lin318;318;insert;logarithmic;1;1.59e+06;TAK;197241474;49201;42029;17.064408;318000000
lin318;318;insert;logarithmic;1;1.59e+06;TAK;190980601;49201;42029;17.064408;318000000
lin318;318;insert;logarithmic;1;3.18e+06;TAK;192726960;49201;42029;17.064408;318000000
