Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
pcb442;442;swap;geometric;0.9;44200;TAK;636679;58950;50778;16.093584;835380
pcb442;442;invert;geometric;0.9;44200;TAK;673164;58007;50778;14.236480;835380
pcb442;442;insert;geometric;0.9;44200;TAK;687682;58950;50778;16.093584;835380
pcb442;442;swap;geometric;0.95;44200;TAK;12901408;58950;50778;16.093584;17193800
pcb442;442;invert;geometric;0.95;44200;TAK;13607032;52993;50778;4.362125;17193800
pcb442;442;invert;geometric;0.95;221000;TAK;14919479;52976;50778;4.328646;18564000
pcb442;442;insert;geometric;0.95;221000;TAK;14964586;58950;50778;16.093584;18564000
pcb442;442;insert;geometric;0.95;221000;TAK;74691764;54359;50778;7.052267;92820000
pcb442;442;insert;geometric;0.95;442000;TAK;15199363;58950;50778;16.093584;19138600
pcb442;442;insert;geometric;0.95;4.42e+06;TAK;17190262;57963;50778;14.149829;21127600
pcb442;442;insert;geometric;0.9;2.21e+06;TAK;8777689;58950;50778;16.093584;10033400
pcb442;442;insert;geometric;0.99;2.21e+06;TAK;84573619;54430;50778;7.192091;104754000
pcb442;442;insert;geometric;0.999;2.21e+06;TAK;359681773;58950;50778;16.093584;442000000
pcb442;442;swap;logarithmic;1;2.21e+06;TAK;345562137;58950;50778;16.093584;442000000
pcb442;442;invert;logarithmic;1;2.21e+06;TAK;361891636;58950;50778;16.093584;442000000
pcb442;442;insert;logarithmic;1;2.21e+06;TAK;408041046;58950;50778;16.093584;442000000
pcb442;442;insert;logarithmic;1;2.21e+06;TAK;5949616494;58950;50778;16.093584;247260221
pcb442;442;insert;logarithmic;1;4.42e+06;TAK;417467340;58950;50778;16.093584;442000000
pcb442;442;invert;geometric;0.95;221000;TAK;14760321;52578;50778;3.544842;18564000
pcb442;442;insert;geometric;0.95;221000;TAK;14805332;58950;50778;16.093584;18564000
