Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
pr124;124;swap;geometric;0.9;12400;TAK;58751;67055;59030;13.594782;219480
pr124;124;invert;geometric;0.9;12400;TAK;61802;60689;59030;2.810435;219480
pr124;124;insert;geometric;0.9;12400;TAK;66608;67055;59030;13.594782;219480
pr124;124;swap;geometric;0.95;12400;TAK;1186169;67055;59030;13.594782;4513600
pr124;124;invert;geometric;0.95;12400;TAK;1273850;59397;59030;0.621718;4513600
pr124;124;invert;geometric;0.95;62000;TAK;1377869;59764;59030;1.243436;4898000
pr124;124;insert;geometric;0.95;62000;TAK;1434148;59547;59030;0.875826;4898000
pr124;124;insert;geometric;0.95;62000;TAK;7115968;61382;59030;3.984415;24490000
pr124;124;insert;geometric;0.95;124000;TAK;1506066;63607;59030;7.753685;5071600
pr124;124;insert;geometric;0.95;1.24e+06;TAK;1673228;62534;59030;5.935965;5629600
pr124;124;insert;geometric;0.9;620000;TAK;795773;65214;59030;10.476029;2666000
pr124;124;insert;geometric;0.99;620000;TAK;3513960;59030;59030;0.000000;11180945
pr124;124;insert;geometric;0.999;620000;TAK;70453944;59385;59030;0.601389;233295356
pr124;124;swap;logarithmic;1;620000;TAK;35503249;67055;59030;13.594782;124000000
pr124;124;invert;logarithmic;1;620000;TAK;38614591;67055;59030;13.594782;124000000
pr124;124;insert;logarithmic;1;620000;TAK;39376524;67055;59030;13.594782;124000000
pr124;124;insert;logarithmic;1;620000;TAK;39674572;67055;59030;13.594782;124000000
pr124;124;insert;logarithmic;1;1.24e+06;TAK;39574461;67055;59030;13.594782;124000000
