Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
rbg443;443;swap;geometric;0.9;44300;TAK;746671;2971;2720;9.227941;837270
rbg443;443;invert;geometric;0.9;44300;TAK;701150;3858;2720;41.838235;837270
rbg443;443;insert;geometric;0.9;44300;TAK;690167;2862;2720;5.220588;837270
rbg443;443;swap;geometric;0.95;44300;TAK;13641261;2809;2720;3.272059;17232700
rbg443;443;invert;geometric;0.95;44300;TAK;14552942;3858;2720;41.838235;17232700
rbg443;443;invert;geometric;0.95;221500;TAK;14874040;3858;2720;41.838235;18606000
rbg443;443;insert;geometric;0.95;221500;TAK;15244211;2738;2720;0.661765;18606000
rbg443;443;insert;geometric;0.95;221500;TAK;77862282;2730;2720;0.367647;93030000
rbg443;443;insert;geometric;0.95;443000;TAK;16157917;2757;2720;1.360294;19226200
rbg443;443;insert;geometric;0.95;4.43e+06;TAK;17418566;2729;2720;0.330882;21175400
rbg443;443;insert;geometric;0.9;2.215e+06;TAK;8446286;2743;2720;0.845588;10056100
rbg443;443;insert;geometric;0.99;2.215e+06;TAK;87329575;2735;2720;0.551471;105035300
rbg443;443;insert;geometric;0.999;2.215e+06;TAK;369631265;3858;2720;41.838235;443000000
rbg443;443;swap;logarithmic;1;2.215e+06;TAK;342573311;3858;2720;41.838235;443000000
rbg443;443;invert;logarithmic;1;2.215e+06;TAK;356061294;3858;2720;41.838235;443000000
rbg443;443;insert;logarithmic;1;2.215e+06;TAK;358040809;3858;2720;41.838235;443000000
rbg443;443;insert;logarithmic;1;2.215e+06;TAK;359726706;3858;2720;41.838235;443000000
rbg443;443;insert;logarithmic;1;4.43e+06;TAK;362000544;3858;2720;41.838235;443000000
rbg443;443;invert;geometric;0.95;221500;TAK;15464965;3858;2720;41.838235;18606000
rbg443;443;insert;geometric;0.95;221500;TAK;14946999;2723;2720;0.110294;18606000
