Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;3865;24698;24698
5489;34227;24698;24698
10479;63464;24524;24524
15469;99187;22846;22846
20459;134912;22307;22307
25449;162890;22265;22265
30439;190958;22265;22265
35429;218695;22265;22265
40419;246269;22265;22265
45409;273901;22265;22265
50399;301557;22265;22265
55389;329397;22265;22265
60379;357107;22265;22265
65369;386607;22265;22265
70359;414442;22265;22265
75349;442098;22265;22265
80339;469522;22261;22261
85329;497364;22234;22234
90319;526026;22184;22184
95309;553822;22184;22184
100299;582079;22184;22184
105289;610415;22163;22163
110279;639587;22163;22163
115269;667961;22082;22082
120259;697554;22033;22033
125249;726594;22030;22030
130239;754748;22030;22030
135229;782478;22030;22030
140219;810758;21985;21985
145209;839212;21985;21985
150199;867167;21985;21985
155189;897225;21985;21985
160179;927077;21985;21985
165169;958239;21910;21910
170159;989206;21910;21910
175149;1020623;21910;21910
180139;1052753;21910;21910
185129;1084087;21910;21910
190119;1115870;21910;21910
195109;1147815;21910;21910
200099;1179223;21910;21910
205089;1210227;21910;21910
210079;1240685;21910;21910
215069;1270852;21910;21910
220059;1301948;21910;21910
225049;1332322;21910;21910
230039;1363159;21904;21904
235029;1393358;21904;21904
240019;1423259;21904;21904
245009;1453580;21904;21904
249999;1483862;21904;21904
254989;1514371;21904;21904
259979;1544566;21904;21904
264969;1574469;21904;21904
269959;1604940;21904;21904
274949;1635530;21904;21904
279939;1664606;21904;21904
284929;1693070;21904;21904
289919;1722553;21904;21904
294909;1752389;21904;21904
299899;1782390;21904;21904
304889;1811934;21904;21904
309879;1841420;21904;21904
314869;1871501;21904;21904
319859;1901100;21904;21904
324849;1928978;21904;21904
329839;1957170;21904;21904
334829;1986309;21904;21904
339819;2014105;21904;21904
344809;2042156;21904;21904
349799;2070685;21904;21904
354789;2099748;21904;21904
359779;2129155;21904;21904
364769;2157733;21904;21904
369759;2187046;21904;21904
374749;2216002;21904;21904
379739;2245891;21904;21904
384729;2275885;21904;21904
389719;2305161;21904;21904
394709;2333711;21904;21904
399699;2361540;21904;21904
404689;2389421;21904;21904
409679;2417331;21904;21904
414669;2445912;21904;21904
419659;2476438;21904;21904
424649;2506586;21904;21904
429639;2535796;21904;21904
434629;2564969;21904;21904
439619;2595166;21904;21904
444609;2626601;21904;21904
449599;2656777;21904;21904
454589;2686873;21904;21904
459579;2716366;21904;21904
464569;2745387;21904;21904
469559;2774709;21904;21904
474549;2804026;21904;21904
479539;2834794;21904;21904
484529;2865124;21904;21904
489519;2894080;21904;21904
494509;2923978;21904;21904
499499;2953994;21904;21904
504489;2982623;21904;21904
509479;3011796;21904;21904
514469;3041242;21904;21904
519459;3070968;21904;21904
524449;3101844;21904;21904
529439;3132942;21904;21904
534429;3165247;21904;21904
539419;3199001;21904;21904
544409;3240959;21904;21904
549399;3273787;21904;21904
554389;3303252;21904;21904
559379;3332593;21904;21904
564369;3362639;21904;21904
569359;3398451;21904;21904
574349;3428430;21904;21904
579339;3458360;21904;21904
584329;3486830;21904;21904
589319;3516253;21904;21904
594309;3545936;21904;21904
599299;3574181;21904;21904
604289;3602180;21904;21904
609279;3631286;21904;21904
614269;3659733;21904;21904
619259;3689037;21904;21904
624249;3718682;21904;21904
629239;3747950;21904;21904
634229;3776655;21904;21904
639219;3804541;21904;21904
644209;3837904;21904;21904
649199;3867293;21904;21904
654189;3896716;21904;21904
659179;3926374;21904;21904
664169;3957803;21904;21904
669159;3985999;21904;21904
674149;4013764;21904;21904
679139;4043209;21904;21904
684129;4074091;21904;21904
689119;4102759;21904;21904
694109;4133901;21904;21904
699099;4164589;21904;21904
704089;4193988;21904;21904
709079;4221330;21904;21904
714069;4248635;21904;21904
719059;4276124;21904;21904
724049;4303544;21904;21904
729039;4330934;21904;21904
734029;4359035;21904;21904
739019;4388728;21904;21904
744009;4417803;21904;21904
748999;4447375;21904;21904
753989;4476183;21904;21904
758979;4504973;21904;21904
763969;4534168;21904;21904
768959;4563618;21904;21904
773949;4593417;21904;21904
778939;4623261;21904;21904
783929;4651587;21904;21904
788919;4680927;21904;21904
793909;4710067;21904;21904
798899;4739916;21904;21904
803889;4769245;21904;21904
808879;4798998;21904;21904
813869;4828258;21904;21904
818859;4857636;21904;21904
823849;4885503;21904;21904
828839;4912774;21904;21904
833829;4939861;21904;21904
838819;4967190;21904;21904
843809;4994382;21904;21904
848799;5021508;21904;21904
853789;5048639;21904;21904
858779;5076030;21904;21904
863769;5103109;21904;21904
868759;5130742;21904;21904
873749;5158035;21904;21904
878739;5185371;21904;21904
883729;5212676;21904;21904
888719;5239866;21904;21904
893709;5266919;21904;21904
898699;5294475;21904;21904
903689;5322072;21904;21904
908679;5349065;21904;21904
913669;5376030;21904;21904
918659;5403418;21904;21904
923649;5430575;21904;21904
928639;5458275;21904;21904
933629;5485468;21904;21904
938619;5512793;21904;21904
943609;5540077;21904;21904
948599;5569062;21904;21904
953589;5596434;21904;21904
958579;5623524;21904;21904
963569;5650890;21904;21904
968559;5680753;21904;21904
973549;5711206;21904;21904
978539;5742561;21904;21904
983529;5772865;21904;21904
988519;5803877;21904;21904
993509;5833819;21904;21904
998499;5864080;21904;21904
1003489;5894568;21904;21904
1008479;5926088;21904;21904
1013469;5955962;21904;21904
1018459;5985826;21904;21904
1023449;6014810;21904;21904
1028439;6043106;21904;21904
1033429;6072128;21904;21904
1038419;6099263;21904;21904
1043409;6128613;21904;21904
1048399;6156009;21904;21904
1053389;6184428;21904;21904
1058379;6211932;21904;21904
1063369;6240384;21904;21904
1068359;6268059;21904;21904
1073349;6296600;21904;21904
1078339;6324667;21904;21904
1083329;6352002;21904;21904
1088319;6380687;21904;21904
1093309;6408084;21904;21904
1098299;6436886;21904;21904
1103289;6466323;21904;21904
