Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
149;5810;58950;58950
1639;48158;58950;58950
3129;86252;58950;58950
4619;124364;58950;58950
6109;158859;58950;58950
7599;193991;58950;58950
9089;228289;58950;58950
10579;263910;58950;58950
12069;299565;58950;58950
13559;335399;58950;58950
15049;370889;58950;58950
16539;406315;58950;58950
18029;441457;58950;58950
19519;475621;58950;58950
21009;509764;58950;58950
22499;544543;58950;58950
23989;578334;58950;58950
25479;613397;58950;58950
26969;647966;58950;58950
28459;682258;58950;58950
29949;716148;58950;58950
31439;750906;58950;58950
32929;785238;58950;58950
34419;819830;58950;58950
35909;854119;58950;58950
37399;888382;58950;58950
38889;922481;58950;58950
40379;956997;58950;58950
41869;991536;58950;58950
43359;1025552;58950;58950
44849;1060541;58950;58950
46339;1095568;58950;58950
47829;1128863;58950;58950
49319;1162773;58950;58950
50809;1196882;58950;58950
52299;1231394;58950;58950
53789;1266068;58950;58950
55279;1300930;58950;58950
56769;1335239;58950;58950
58259;1369885;58950;58950
