Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;30710;10540;10540
5489;281081;10540;10540
10479;503151;10540;10540
15469;718517;10540;10540
20459;938789;10540;10540
25449;1156803;10535;10535
30439;1378403;10535;10535
35429;1603966;10535;10535
40419;1833228;10535;10535
45409;2056285;10535;10535
50399;2291082;10535;10535
55389;2508654;10535;10535
60379;2738210;10535;10535
65369;2966946;10535;10535
70359;3195554;10530;10530
75349;3424867;10530;10530
80339;3643388;10530;10530
85329;3859741;10530;10530
90319;4075498;10530;10530
95309;4290949;10527;10527
100299;4513213;10527;10527
105289;4731197;10527;10527
110279;4947383;10525;10525
115269;5168620;10523;10523
120259;5397367;10523;10523
125249;5620694;10523;10523
130239;5834763;10523;10523
135229;6055438;10523;10523
140219;6282986;10523;10523
145209;6500546;10523;10523
150199;6719900;10523;10523
155189;6934770;10517;10517
160179;7152544;10517;10517
165169;7373793;10517;10517
170159;7589538;10511;10511
175149;7804373;10511;10511
180139;8017764;10511;10511
185129;8233309;10511;10511
190119;8451828;10511;10511
195109;8668021;10511;10511
200099;8882804;10511;10511
205089;9097369;10511;10511
210079;9314161;10511;10511
215069;9538639;10511;10511
220059;9752963;10511;10511
225049;9973695;10509;10509
230039;10192929;10509;10509
235029;10412874;10509;10509
240019;10639402;10509;10509
245009;10857089;10502;10502
249999;11082440;10502;10502
254989;11296927;10487;10487
259979;11516925;10487;10487
264969;11735071;10487;10487
269959;11948442;10487;10487
274949;12166293;10487;10487
279939;12382701;10487;10487
284929;12600645;10487;10487
289919;12815516;10487;10487
294909;13028970;10487;10487
299899;13246161;10487;10487
304889;13460721;10487;10487
309879;13676596;10487;10487
314869;13894103;10483;10483
319859;14110312;10472;10472
324849;14323210;10472;10472
329839;14542546;10467;10467
334829;14755211;10467;10467
339819;14970145;10467;10467
344809;15187597;10467;10467
349799;15400186;10467;10467
354789;15616044;10467;10467
359779;15829774;10467;10467
364769;16046533;10466;10466
369759;16266101;10442;10442
374749;16483973;10441;10441
379739;16697836;10432;10432
384729;16927110;10432;10432
389719;17142195;10432;10432
394709;17360318;10432;10432
399699;17585315;10431;10431
404689;17815410;10431;10431
409679;18037912;10431;10431
414669;18255335;10431;10431
419659;18478490;10431;10431
424649;18703101;10431;10431
429639;18927125;10431;10431
434629;19144349;10426;10426
439619;19366823;10421;10421
444609;19589304;10421;10421
449599;19804356;10421;10421
454589;20027690;10421;10421
459579;20250290;10420;10420
464569;20483086;10420;10420
469559;20708110;10418;10418
474549;20929573;10418;10418
479539;21162040;10418;10418
484529;21388451;10418;10418
489519;21623156;10418;10418
494509;21850535;10418;10418
499499;22081784;10418;10418
504489;22301369;10418;10418
509479;22518707;10418;10418
514469;22733958;10418;10418
519459;22956084;10418;10418
524449;23173374;10418;10418
529439;23389292;10418;10418
534429;23605765;10418;10418
539419;23823500;10418;10418
