Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;91116;374845;374845
5489;788091;374845;374845
10479;1440071;374845;374845
15469;2087583;374845;374845
20459;2736212;374845;374845
25449;3372571;374845;374845
30439;4019039;374845;374845
35429;4662517;374845;374845
40419;5295056;374727;374727
45409;5927778;374727;374727
50399;6554105;374727;374727
55389;7180787;374727;374727
60379;7808483;374727;374727
65369;8443951;374727;374727
70359;9077461;374727;374727
75349;9705696;374727;374727
80339;10332162;374727;374727
85329;10959815;374727;374727
90319;11589030;374727;374727
95309;12211925;374727;374727
100299;12844698;374727;374727
105289;13475751;374727;374727
110279;14102669;374727;374727
115269;14724200;374727;374727
120259;15353602;374727;374727
125249;15980938;374727;374727
130239;16609701;374727;374727
135229;17237628;374727;374727
140219;17866096;374727;374727
145209;18542419;374727;374727
150199;19173500;374727;374727
155189;19811252;374727;374727
160179;20431727;374237;374237
165169;21054306;374237;374237
170159;21683558;374237;374237
175149;22307640;374237;374237
180139;22938670;374237;374237
185129;23594671;374218;374218
190119;24244541;374218;374218
195109;24895449;374039;374039
200099;25544613;374039;374039
205089;26170692;374039;374039
210079;26803281;374039;374039
215069;27428547;374039;374039
220059;28047293;374039;374039
225049;28673825;374039;374039
230039;29301121;374039;374039
235029;29929420;374039;374039
240019;30564521;374039;374039
245009;31192512;374039;374039
249999;31826939;374039;374039
254989;32463777;373900;373900
259979;33092693;373900;373900
264969;33718023;373739;373739
269959;34349097;373739;373739
274949;34980604;373739;373739
279939;35598791;373739;373739
284929;36226686;373739;373739
289919;36853360;373739;373739
294909;37483035;373739;373739
299899;38118579;373739;373739
304889;38746394;373739;373739
309879;39368001;373739;373739
314869;40003451;373739;373739
319859;40629194;373739;373739
324849;41259677;373704;373704
329839;41890169;373562;373562
334829;42521873;373562;373562
339819;43148954;373562;373562
344809;43776946;373562;373562
349799;44404650;373562;373562
354789;45040736;373562;373562
359779;45668355;373562;373562
364769;46307466;373562;373562
369759;46948808;373562;373562
374749;47580248;373562;373562
379739;48234340;373562;373562
384729;48886292;373562;373562
389719;49513653;373562;373562
394709;50147692;373562;373562
399699;50776540;373562;373562
404689;51414704;373562;373562
409679;52036199;373562;373562
414669;52659859;373562;373562
419659;53289843;372680;372680
424649;53923519;372596;372596
429639;54561964;372596;372596
434629;55197087;372596;372596
