Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;6992;22000;22000
5489;59573;22000;22000
10479;108270;22000;22000
15469;152526;21993;21993
20459;195650;21974;21974
25449;239136;21974;21974
30439;281551;21951;21951
35429;324234;21917;21917
40419;367271;21917;21917
45409;408736;21917;21917
50399;450619;21917;21917
55389;491466;21899;21899
60379;533631;21899;21899
65369;576319;21894;21894
70359;618529;21894;21894
75349;661877;21894;21894
80339;702910;21894;21894
85329;746652;21894;21894
90319;790233;21894;21894
95309;835777;21894;21894
100299;879971;21894;21894
105289;923063;21894;21894
110279;966059;21894;21894
115269;1008788;21894;21894
120259;1051359;21882;21882
125249;1093244;21882;21882
130239;1135046;21882;21882
135229;1178076;21882;21882
140219;1220764;21882;21882
145209;1263090;21882;21882
150199;1305094;21882;21882
155189;1350305;21882;21882
160179;1392453;21858;21858
165169;1433809;21858;21858
170159;1475109;21858;21858
175149;1516302;21858;21858
180139;1562654;21858;21858
185129;1605081;21858;21858
190119;1646878;21858;21858
195109;1687948;21858;21858
200099;1729841;21858;21858
205089;1770480;21857;21857
210079;1812139;21857;21857
215069;1853790;21857;21857
220059;1894846;21857;21857
225049;1938442;21857;21857
230039;1981773;21857;21857
235029;2023730;21857;21857
240019;2064820;21847;21847
245009;2107641;21847;21847
249999;2150381;21847;21847
254989;2191669;21847;21847
259979;2232389;21847;21847
264969;2275493;21847;21847
269959;2316669;21844;21844
274949;2358480;21844;21844
279939;2400042;21844;21844
284929;2441783;21844;21844
289919;2482591;21844;21844
294909;2523014;21844;21844
299899;2564594;21844;21844
304889;2605532;21844;21844
309879;2646975;21844;21844
314869;2688136;21844;21844
319859;2729291;21844;21844
324849;2770356;21844;21844
329839;2811425;21844;21844
334829;2853384;21844;21844
339819;2894079;21844;21844
344809;2935622;21844;21844
349799;2977071;21844;21844
354789;3019394;21844;21844
359779;3061695;21844;21844
364769;3103603;21844;21844
369759;3145837;21844;21844
374749;3188621;21844;21844
379739;3231284;21844;21844
384729;3277983;21844;21844
389719;3322425;21844;21844
394709;3367690;21844;21844
399699;3412567;21844;21844
404689;3457594;21844;21844
409679;3501482;21844;21844
414669;3544558;21844;21844
419659;3586289;21844;21844
424649;3628204;21844;21844
429639;3670019;21844;21844
434629;3711317;21844;21844
439619;3754000;21844;21844
444609;3795266;21844;21844
449599;3836614;21844;21844
454589;3879617;21844;21844
459579;3924251;21844;21844
464569;3975823;21844;21844
469559;4018030;21844;21844
474549;4060382;21844;21844
479539;4109892;21844;21844
484529;4152368;21844;21844
489519;4199969;21844;21844
494509;4246982;21844;21844
499499;4293573;21844;21844
504489;4338750;21844;21844
509479;4381587;21844;21844
514469;4424216;21844;21844
519459;4469036;21844;21844
524449;4511963;21844;21844
529439;4557019;21844;21844
534429;4600869;21844;21844
539419;4645297;21844;21844
544409;4687595;21844;21844
549399;4729065;21844;21844
554389;4770674;21844;21844
559379;4811615;21844;21844
564369;4852999;21844;21844
569359;4894890;21844;21844
574349;4937975;21844;21844
579339;4979019;21844;21844
584329;5019845;21844;21844
589319;5060728;21844;21844
594309;5102390;21844;21844
599299;5144048;21844;21844
604289;5185239;21844;21844
609279;5226867;21844;21844
614269;5269330;21844;21844
619259;5311177;21844;21844
624249;5352530;21844;21844
629239;5393090;21844;21844
634229;5434430;21844;21844
639219;5475897;21844;21844
644209;5517397;21844;21844
649199;5558991;21844;21844
654189;5600095;21844;21844
659179;5640507;21844;21844
664169;5681563;21844;21844
669159;5722975;21844;21844
674149;5764169;21844;21844
679139;5804782;21844;21844
684129;5845781;21844;21844
689119;5890608;21844;21844
694109;5933227;21844;21844
699099;5975348;21844;21844
704089;6017335;21844;21844
709079;6058943;21844;21844
714069;6101138;21844;21844
719059;6142956;21844;21844
724049;6184321;21844;21844
729039;6225947;21844;21844
734029;6267867;21844;21844
739019;6309263;21844;21844
744009;6352536;21844;21844
748999;6394812;21844;21844
753989;6436541;21844;21844
758979;6477839;21844;21844
763969;6521106;21844;21844
768959;6563056;21844;21844
773949;6603940;21844;21844
778939;6646037;21832;21832
783929;6687344;21832;21832
788919;6728947;21832;21832
793909;6770059;21832;21832
798899;6811956;21832;21832
803889;6852812;21832;21832
808879;6894380;21822;21822
813869;6936195;21822;21822
818859;6977404;21822;21822
823849;7018703;21822;21822
828839;7059762;21822;21822
833829;7100626;21822;21822
838819;7142335;21822;21822
843809;7185900;21822;21822
848799;7227447;21822;21822
853789;7269522;21822;21822
858779;7310079;21804;21804
863769;7351315;21804;21804
868759;7394650;21804;21804
873749;7436719;21804;21804
878739;7481415;21804;21804
883729;7524014;21804;21804
888719;7565196;21804;21804
893709;7608541;21804;21804
898699;7650439;21804;21804
903689;7691595;21804;21804
908679;7732888;21804;21804
913669;7774415;21804;21804
918659;7815788;21804;21804
923649;7857061;21804;21804
928639;7898150;21804;21804
933629;7939538;21789;21789
938619;7981200;21789;21789
943609;8022537;21789;21789
948599;8063563;21789;21789
953589;8104399;21789;21789
958579;8145680;21789;21789
963569;8186409;21789;21789
968559;8228232;21789;21789
973549;8269247;21789;21789
978539;8310973;21789;21789
983529;8352143;21789;21789
988519;8393785;21789;21789
993509;8435352;21789;21789
998499;8477574;21789;21789
1003489;8518792;21789;21789
1008479;8560376;21789;21789
1013469;8601563;21789;21789
1018459;8642474;21789;21789
1023449;8683761;21768;21768
1028439;8725699;21768;21768
1033429;8766367;21768;21768
1038419;8809839;21768;21768
1043409;8851100;21768;21768
1048399;8892825;21768;21768
1053389;8934387;21768;21768
1058379;8975723;21768;21768
1063369;9017157;21768;21768
1068359;9059371;21768;21768
1073349;9100070;21768;21768
1078339;9141493;21768;21768
1083329;9182808;21768;21768
1088319;9224365;21768;21768
1093309;9265163;21768;21768
1098299;9305837;21768;21768
1103289;9348090;21768;21768
1108279;9389399;21768;21768
1113269;9430392;21768;21768
1118259;9471754;21768;21768
1123249;9513441;21768;21768
1128239;9554623;21768;21768
1133229;9596366;21768;21768
1138219;9637299;21768;21768
1143209;9678677;21768;21768
1148199;9719531;21768;21768
1153189;9760729;21768;21768
1158179;9801584;21768;21768
1163169;9842755;21768;21768
1168159;9884082;21768;21768
1173149;9924393;21768;21768
1178139;9965402;21768;21768
1183129;10009078;21768;21768
1188119;10050915;21768;21768
1193109;10091772;21768;21768
1198099;10135022;21768;21768
1203089;10176288;21768;21768
1208079;10217268;21768;21768
1213069;10259567;21768;21768
1218059;10301068;21768;21768
1223049;10342004;21768;21768
1228039;10382963;21768;21768
1233029;10423678;21768;21768
1238019;10464548;21768;21768
1243009;10506284;21768;21768
1247999;10547820;21768;21768
1252989;10589091;21768;21768
1257979;10630444;21768;21768
1262969;10671226;21768;21768
1267959;10721445;21768;21768
1272949;10764487;21768;21768
1277939;10805449;21768;21768
1282929;10846946;21768;21768
1287919;10889076;21768;21768
1292909;10930354;21768;21768
1297899;10970789;21768;21768
1302889;11012616;21768;21768
1307879;11055428;21768;21768
1312869;11096794;21768;21768
1317859;11137503;21768;21768
1322849;11180490;21768;21768
1327839;11222206;21768;21768
1332829;11263708;21768;21768
1337819;11304404;21768;21768
1342809;11345519;21768;21768
1347799;11386674;21768;21768
1352789;11427233;21768;21768
1357779;11468272;21768;21768
1362769;11509251;21768;21768
1367759;11549493;21768;21768
1372749;11589993;21768;21768
1377739;11630627;21768;21768
1382729;11673611;21768;21768
1387719;11714421;21768;21768
1392709;11755283;21768;21768
1397699;11796037;21768;21768
1402689;11838432;21768;21768
1407679;11880433;21768;21768
1412669;11921020;21768;21768
1417659;11962172;21768;21768
1422649;12003349;21768;21768
1427639;12044239;21768;21768
1432629;12085103;21768;21768
1437619;12126133;21768;21768
1442609;12166790;21768;21768
1447599;12207368;21768;21768
1452589;12248187;21768;21768
1457579;12288548;21768;21768
1462569;12330475;21768;21768
1467559;12371639;21768;21768
1472549;12412398;21768;21768
1477539;12452898;21768;21768
1482529;12494498;21768;21768
1487519;12535676;21768;21768
1492509;12577224;21768;21768
1497499;12618197;21768;21768
1502489;12658782;21768;21768
1507479;12699648;21768;21768
1512469;12740384;21768;21768
1517459;12782440;21768;21768
1522449;12823712;21768;21768
1527439;12864309;21768;21768
1532429;12905925;21768;21768
1537419;12947235;21768;21768
1542409;12988473;21768;21768
1547399;13030994;21768;21768
1552389;13072018;21768;21768
1557379;13114470;21768;21768
1562369;13156661;21768;21768
1567359;13197317;21768;21768
1572349;13238202;21768;21768
1577339;13281159;21768;21768
1582329;13322745;21768;21768
1587319;13364612;21768;21768
1592309;13405675;21768;21768
1597299;13449243;21768;21768
1602289;13491962;21768;21768
1607279;13534414;21768;21768
1612269;13576745;21768;21768
1617259;13618470;21768;21768
1622249;13661019;21768;21768
1627239;13703956;21768;21768
1632229;13745741;21768;21768
1637219;13787463;21768;21768
1642209;13829936;21768;21768
1647199;13872897;21768;21768
1652189;13914707;21768;21768
1657179;13955453;21768;21768
1662169;13996359;21768;21768
1667159;14039489;21768;21768
1672149;14081757;21768;21768
1677139;14123101;21768;21768
1682129;14164957;21768;21768
1687119;14205851;21768;21768
1692109;14246452;21768;21768
1697099;14287358;21768;21768
1702089;14328533;21768;21768
1707079;14369943;21768;21768
1712069;14411716;21768;21768
1717059;14453109;21768;21768
1722049;14494178;21768;21768
1727039;14535138;21768;21768
1732029;14576431;21768;21768
1737019;14618576;21768;21768
1742009;14659648;21768;21768
1746999;14700686;21768;21768
1751989;14742045;21768;21768
1756979;14782721;21768;21768
1761969;14823733;21768;21768
1766959;14865111;21768;21768
1771949;14905899;21768;21768
1776939;14947365;21768;21768
1781929;14987941;21768;21768
1786919;15028813;21768;21768
1791909;15069719;21768;21768
1796899;15112023;21768;21768
1801889;15153444;21768;21768
1806879;15194630;21768;21768
1811869;15236040;21768;21768
1816859;15278810;21768;21768
1821849;15319532;21768;21768
1826839;15360585;21768;21768
1831829;15401273;21768;21768
1836819;15442335;21768;21768
1841809;15484195;21768;21768
1846799;15525497;21768;21768
1851789;15567167;21768;21768
1856779;15609457;21768;21768
1861769;15652195;21768;21768
1866759;15693197;21768;21768
1871749;15733912;21768;21768
1876739;15775561;21768;21768
1881729;15816783;21768;21768
1886719;15858761;21768;21768
1891709;15899587;21768;21768
1896699;15940928;21768;21768
1901689;15981971;21768;21768
1906679;16022838;21768;21768
1911669;16063680;21768;21768
1916659;16106719;21768;21768
1921649;16148789;21768;21768
1926639;16191143;21768;21768
1931629;16232142;21768;21768
1936619;16274362;21768;21768
1941609;16317709;21768;21768
1946599;16359794;21768;21768
1951589;16401535;21768;21768
1956579;16443752;21768;21768
1961569;16484441;21768;21768
1966559;16525433;21768;21768
1971549;16566405;21768;21768
1976539;16607343;21768;21768
1981529;16648797;21768;21768
1986519;16690104;21768;21768
1991509;16731874;21768;21768
1996499;16773004;21768;21768
2001489;16815490;21768;21768
2006479;16856183;21768;21768
2011469;16897148;21768;21768
2016459;16937805;21768;21768
2021449;16979247;21768;21768
2026439;17021975;21768;21768
2031429;17063211;21768;21768
2036419;17103715;21768;21768
2041409;17144732;21768;21768
2046399;17185548;21768;21768
2051389;17226486;21768;21768
2056379;17268570;21768;21768
2061369;17310499;21768;21768
2066359;17351840;21768;21768
2071349;17392079;21768;21768
2076339;17433932;21768;21768
2081329;17477192;21768;21768
2086319;17518400;21768;21768
2091309;17560317;21768;21768
2096299;17601415;21768;21768
2101289;17643272;21768;21768
2106279;17685285;21768;21768
2111269;17726009;21768;21768
2116259;17767508;21768;21768
2121249;17810524;21768;21768
2126239;17852336;21768;21768
2131229;17894574;21768;21768
2136219;17935524;21768;21768
2141209;17976578;21768;21768
2146199;18017350;21768;21768
2151189;18058756;21768;21768
2156179;18101727;21768;21768
2161169;18142482;21768;21768
2166159;18183541;21768;21768
2171149;18225734;21768;21768
2176139;18268006;21768;21768
2181129;18309071;21768;21768
2186119;18349973;21768;21768
2191109;18391057;21768;21768
2196099;18432083;21768;21768
2201089;18473553;21768;21768
2206079;18514631;21768;21768
2211069;18555338;21768;21768
2216059;18596590;21768;21768
2221049;18637240;21768;21768
2226039;18678281;21768;21768
2231029;18718821;21768;21768
2236019;18759013;21768;21768
2241009;18799438;21768;21768
2245999;18840385;21768;21768
2250989;18881301;21768;21768
2255979;18922438;21768;21768
2260969;18963292;21768;21768
2265959;19006299;21768;21768
2270949;19048067;21768;21768
2275939;19089218;21768;21768
2280929;19130573;21768;21768
2285919;19171846;21768;21768
2290909;19214011;21768;21768
2295899;19255444;21768;21768
2300889;19296533;21768;21768
2305879;19338992;21768;21768
2310869;19380441;21768;21768
2315859;19422600;21768;21768
2320849;19464913;21768;21768
2325839;19506363;21768;21768
2330829;19547802;21768;21768
2335819;19588424;21768;21768
2340809;19629713;21768;21768
2345799;19671041;21768;21768
2350789;19712211;21768;21768
2355779;19752925;21768;21768
2360769;19793923;21768;21768
2365759;19834591;21768;21768
2370749;19876648;21768;21768
2375739;19917366;21768;21768
2380729;19958213;21768;21768
2385719;20000056;21768;21768
2390709;20043046;21768;21768
2395699;20083941;21768;21768
2400689;20125140;21768;21768
2405679;20166677;21768;21768
2410669;20208136;21768;21768
2415659;20249103;21768;21768
2420649;20289761;21768;21768
2425639;20330854;21768;21768
2430629;20373206;21768;21768
2435619;20414248;21768;21768
2440609;20454824;21768;21768
2445599;20495944;21768;21768
2450589;20538977;21768;21768
2455579;20579842;21768;21768
2460569;20620398;21768;21768
2465559;20661827;21768;21768
2470549;20702060;21768;21768
2475539;20742720;21768;21768
2480529;20783488;21768;21768
2485519;20824875;21768;21768
2490509;20865896;21768;21768
2495499;20909157;21768;21768
2500489;20951451;21768;21768
2505479;20993751;21768;21768
2510469;21035033;21768;21768
2515459;21076772;21768;21768
2520449;21118106;21768;21768
2525439;21159567;21768;21768
2530429;21200755;21768;21768
2535419;21241472;21768;21768
2540409;21282634;21768;21768
2545399;21323604;21768;21768
2550389;21365346;21768;21768
2555379;21406042;21768;21768
2560369;21447066;21768;21768
2565359;21487928;21768;21768
2570349;21528419;21768;21768
2575339;21569379;21768;21768
2580329;21610875;21768;21768
2585319;21652029;21768;21768
2590309;21692785;21768;21768
2595299;21732982;21768;21768
2600289;21775695;21768;21768
2605279;21816604;21768;21768
2610269;21857302;21768;21768
2615259;21897947;21768;21768
2620249;21939418;21768;21768
2625239;21981067;21768;21768
2630229;22023378;21768;21768
2635219;22065344;21768;21768
2640209;22106426;21768;21768
2645199;22147448;21768;21768
2650189;22188583;21768;21768
2655179;22229064;21768;21768
2660169;22269026;21768;21768
2665159;22310108;21768;21768
2670149;22351148;21768;21768
2675139;22392540;21768;21768
2680129;22433438;21768;21768
2685119;22474829;21768;21768
2690109;22515073;21768;21768
2695099;22556051;21768;21768
2700089;22597468;21768;21768
2705079;22639705;21768;21768
2710069;22679881;21768;21768
2715059;22720692;21768;21768
2720049;22761031;21768;21768
2725039;22802225;21768;21768
2730029;22844140;21768;21768
2735019;22884912;21768;21768
2740009;22926183;21768;21768
2744999;22967467;21768;21768
2749989;23009437;21768;21768
2754979;23050448;21768;21768
2759969;23092004;21768;21768
2764959;23132691;21768;21768
2769949;23172715;21768;21768
2774939;23213535;21768;21768
2779929;23254598;21768;21768
2784919;23296788;21768;21768
2789909;23337967;21768;21768
2794899;23379679;21768;21768
2799889;23419810;21768;21768
2804879;23464242;21768;21768
2809869;23505888;21768;21768
2814859;23547107;21768;21768
2819849;23587857;21768;21768
2824839;23628599;21768;21768
2829829;23670216;21768;21768
2834819;23710943;21768;21768
2839809;23751904;21768;21768
2844799;23793034;21768;21768
2849789;23834198;21768;21768
2854779;23875177;21768;21768
2859769;23915844;21768;21768
2864759;23956770;21768;21768
2869749;23998091;21768;21768
2874739;24039082;21768;21768
2879729;24081729;21768;21768
2884719;24123151;21768;21768
2889709;24165317;21768;21768
2894699;24206229;21768;21768
2899689;24262093;21768;21768
2904679;24305435;21768;21768
2909669;24346447;21768;21768
2914659;24389043;21768;21768
