Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;3257;796;796
5489;24707;776;776
10479;44169;747;747
15469;63135;741;741
20459;84359;740;740
25449;103779;735;735
30439;122945;714;714
35429;142246;710;710
40419;160950;710;710
45409;181297;709;709
50399;201526;708;708
55389;222305;708;708
60379;242660;708;708
65369;262958;707;707
70359;283300;707;707
75349;303579;707;707
80339;324020;707;707
85329;344270;707;707
90319;364653;707;707
95309;385156;707;707
100299;405400;700;700
105289;425793;700;700
110279;444899;700;700
115269;464393;700;700
120259;483071;700;700
125249;501873;700;700
130239;520795;700;700
135229;539699;700;700
140219;558663;700;700
145209;577420;700;700
150199;596856;700;700
155189;616067;700;700
160179;635280;700;700
165169;654001;700;700
170159;672631;700;700
175149;691794;700;700
180139;711534;700;700
185129;731541;700;700
190119;751571;700;700
195109;771838;700;700
200099;792405;700;700
205089;812806;700;700
210079;833274;700;700
215069;853584;700;700
220059;874181;700;700
225049;895081;700;700
230039;915798;700;700
235029;936126;700;700
240019;956531;700;700
245009;977214;700;700
249999;997440;700;700
254989;1018191;700;700
259979;1040351;700;700
264969;1062353;700;700
269959;1083622;700;700
274949;1104225;700;700
279939;1124951;700;700
284929;1145993;700;700
289919;1166749;700;700
294909;1187815;700;700
299899;1208500;700;700
304889;1229334;700;700
309879;1251523;700;700
314869;1272031;700;700
319859;1293051;700;700
324849;1313390;700;700
329839;1334646;700;700
334829;1354899;700;700
339819;1374262;700;700
344809;1392990;700;700
349799;1412082;700;700
354789;1431937;700;700
359779;1451514;700;700
364769;1470521;700;700
369759;1489160;700;700
374749;1508920;700;700
379739;1528909;700;700
384729;1547572;700;700
389719;1566419;700;700
394709;1585290;700;700
399699;1604368;700;700
404689;1623056;700;700
409679;1642426;700;700
414669;1663857;700;700
419659;1684272;700;700
424649;1704248;700;700
429639;1725516;700;700
434629;1746131;700;700
439619;1765838;700;700
444609;1784695;700;700
449599;1803990;700;700
454589;1823723;700;700
459579;1843252;700;700
464569;1865646;700;700
469559;1893981;700;700
474549;1922264;700;700
479539;1945842;700;700
484529;1968843;700;700
489519;1990997;700;700
494509;2013414;700;700
499499;2043262;700;700
504489;2066697;700;700
509479;2093752;700;700
514469;2117689;700;700
519459;2140064;700;700
524449;2160954;700;700
529439;2181608;700;700
534429;2206213;700;700
539419;2228823;700;700
544409;2250507;700;700
549399;2271351;700;700
554389;2291733;700;700
559379;2311909;700;700
564369;2334928;700;700
569359;2355599;700;700
574349;2376040;700;700
579339;2396781;700;700
584329;2416836;700;700
589319;2436731;700;700
594309;2456483;700;700
599299;2476026;700;700
604289;2496252;700;700
609279;2516370;700;700
614269;2535862;700;700
619259;2554667;700;700
624249;2573234;700;700
629239;2591968;700;700
634229;2610662;700;700
639219;2629684;700;700
644209;2649158;700;700
649199;2669041;700;700
654189;2687884;700;700
659179;2706914;700;700
664169;2726765;700;700
669159;2747677;700;700
674149;2768453;700;700
679139;2789120;700;700
684129;2812658;700;700
689119;2833132;700;700
