Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;117138;268878;268878
5489;899370;268878;268878
10479;1572085;268878;268878
15469;2240763;268878;268878
20459;2903496;268838;268838
25449;3602990;268838;268838
30439;4272518;268836;268836
35429;4914730;268836;268836
40419;5556874;268836;268836
45409;6200577;268836;268836
50399;6847660;268836;268836
55389;7483708;268836;268836
60379;8131664;268836;268836
65369;8783381;268836;268836
70359;9429910;268836;268836
75349;10083780;268836;268836
80339;10726910;268836;268836
85329;11365133;268836;268836
90319;12005214;268836;268836
95309;12641954;268836;268836
100299;13278885;268836;268836
105289;13930512;268836;268836
110279;14566995;268836;268836
115269;15209462;268836;268836
120259;15859656;268836;268836
125249;16498914;268836;268836
130239;17152063;268836;268836
135229;17799316;268798;268798
140219;18442416;268798;268798
145209;19082257;268798;268798
150199;19727842;268798;268798
155189;20380852;268798;268798
160179;21031030;268798;268798
165169;21675457;268798;268798
170159;22330099;268798;268798
175149;22971157;268798;268798
180139;23622238;268798;268798
185129;24283484;268798;268798
190119;24932884;268798;268798
195109;25577588;268798;268798
200099;26210781;268798;268798
205089;26853058;268798;268798
210079;27504061;268798;268798
215069;28145585;268798;268798
220059;28789234;268750;268750
225049;29435625;268750;268750
230039;30084965;268750;268750
235029;30730890;268750;268750
240019;31396902;268750;268750
245009;32043860;268691;268691
249999;32702077;268691;268691
254989;33372999;268691;268691
259979;34064369;268691;268691
264969;34717855;268691;268691
269959;35364399;268691;268691
274949;36005879;268691;268691
279939;36722695;268691;268691
284929;37383527;268691;268691
289919;38020651;268691;268691
294909;38667279;268691;268691
299899;39315475;268691;268691
304889;39964949;268691;268691
309879;40609176;268691;268691
314869;41265985;268691;268691
319859;41919113;268691;268691
324849;42565847;268691;268691
329839;43213747;268691;268691
334829;43875485;268691;268691
339819;44534321;268691;268691
344809;45180333;268691;268691
349799;45823633;268691;268691
354789;46467185;268691;268691
359779;47116273;268691;268691
364769;47768852;268680;268680
369759;48425257;268680;268680
374749;49067596;268680;268680
379739;49701258;268680;268680
384729;50344851;268680;268680
389719;50986353;268635;268635
394709;51633474;268635;268635
399699;52281099;268635;268635
404689;52930071;268635;268635
409679;53577821;268576;268576
414669;54230014;268576;268576
419659;54871219;268576;268576
424649;55517444;268576;268576
429639;56157774;268576;268576
434629;56812861;268576;268576
439619;57454574;268576;268576
444609;58098716;268576;268576
449599;58732428;268576;268576
454589;59384585;268576;268576
459579;60047864;268576;268576
464569;60689820;268576;268576
469559;61357385;268576;268576
474549;62020143;268541;268541
479539;62684339;268541;268541
484529;63374005;268541;268541
489519;64073236;268508;268508
494509;64714386;268508;268508
499499;65362109;268508;268508
504489;66002937;268508;268508
509479;66639367;268508;268508
514469;67288336;268508;268508
519459;67936854;268508;268508
524449;68575674;268508;268508
