Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
burma14;14;swap;5;50;2000;TAK;29038;3336;3323;0.391213;24304
burma14;14;swap;5;100;2000;TAK;40380;3336;3323;0.391213;41481
burma14;14;swap;5;200;2000;TAK;3880;3323;3323;0.000000;2985
burma14;14;swap;1;100;2000;TAK;42399;3323;3323;0.000000;39600
burma14;14;swap;10;100;2000;TAK;37764;3336;3323;0.391213;41382
burma14;14;invert;10;100;2000;TAK;44741;3336;3323;0.391213;40491
burma14;14;insert;10;100;2000;TAK;2342;3323;3323;0.000000;1980
burma14;14;invert;10;200;5000;TAK;2235;3323;3323;0.000000;1592
burma14;14;invert;15;300;10000;TAK;6471;3323;3323;0.000000;4784
burma14;14;insert;10;200;5000;TAK;3542;3323;3323;0.000000;2388
burma14;14;insert;15;300;10000;TAK;4473;3323;3323;0.000000;3289
burma14;14;insert;15;500;20000;TAK;12688;3323;3323;0.000000;5988
