Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
gr48;48;swap;5;50;2000;TAK;98543;5805;5046;15.041617;40229
gr48;48;swap;5;100;2000;TAK;146819;5775;5046;14.447087;62172
gr48;48;swap;5;200;2000;TAK;565154;5795;5046;14.843440;227258
gr48;48;swap;1;100;2000;TAK;228786;5817;5046;15.279429;94446
gr48;48;swap;10;100;2000;TAK;197852;5774;5046;14.427269;81477
gr48;48;invert;10;100;2000;TAK;256523;5196;5046;2.972652;109494
gr48;48;insert;10;100;2000;TAK;255955;5498;5046;8.957590;104445
gr48;48;invert;10;200;5000;TAK;560128;5445;5046;7.907253;230044
gr48;48;invert;15;300;10000;TAK;1600811;5394;5046;6.896552;609063
gr48;48;insert;10;200;5000;TAK;753476;5506;5046;9.116132;288152
gr48;48;insert;15;300;10000;TAK;1538608;5546;5046;9.908839;635973
gr48;48;insert;15;500;20000;TAK;4866057;5498;5046;8.957590;2024942
