Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
kroA100;100;swap;5;50;2000;TAK;354381;22844;21282;7.339536;63112
kroA100;100;swap;5;100;2000;TAK;661837;23386;21282;9.886289;120384
kroA100;100;swap;5;200;2000;TAK;1039813;22172;21282;4.181938;177110
kroA100;100;swap;1;100;2000;TAK;250820;24486;21282;15.054976;43263
kroA100;100;swap;10;100;2000;TAK;609214;22827;21282;7.259656;103158
kroA100;100;invert;10;100;2000;TAK;1036250;21939;21282;3.087116;181071
kroA100;100;insert;10;100;2000;TAK;901778;21962;21282;3.195188;157806
kroA100;100;invert;10;200;5000;TAK;3782394;21880;21282;2.809886;650332
kroA100;100;invert;15;300;10000;TAK;4485167;21292;21282;0.046988;781287
kroA100;100;insert;10;200;5000;TAK;2219034;21904;21282;2.922658;366160
kroA100;100;insert;15;300;10000;TAK;4729400;21904;21282;2.922658;843479
kroA100;100;insert;15;500;20000;TAK;12744258;21904;21282;2.922658;2223045
