Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
lin318;318;swap;5;50;2000;TAK;305331;49201;42029;17.064408;19600
lin318;318;swap;5;100;2000;TAK;620729;49201;42029;17.064408;39600
lin318;318;swap;5;200;2000;TAK;5736102;48737;42029;15.960408;370339
lin318;318;swap;1;100;2000;TAK;653341;49201;42029;17.064408;39600
lin318;318;swap;10;100;2000;TAK;628426;49201;42029;17.064408;39600
lin318;318;invert;10;100;2000;TAK;3072529;47230;42029;12.374789;198000
lin318;318;insert;10;100;2000;TAK;3042147;48295;42029;14.908753;198000
lin318;318;invert;10;200;5000;TAK;15204311;45309;42029;7.804135;995000
lin318;318;invert;15;300;10000;TAK;31672119;45298;42029;7.777963;2069080
lin318;318;insert;10;200;5000;TAK;15591464;47363;42029;12.691237;995000
lin318;318;insert;15;300;10000;TAK;46247131;45777;42029;8.917652;2990000
lin318;318;insert;15;500;20000;TAK;78969706;45514;42029;8.291894;5058363
