Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
pcb442;442;swap;5;50;2000;TAK;695718;58835;50778;15.867108;30037
pcb442;442;swap;5;100;2000;TAK;1518669;58891;50778;15.977392;66726
pcb442;442;swap;5;200;2000;TAK;3473922;58576;50778;15.357044;151439
pcb442;442;swap;1;100;2000;TAK;915979;58950;50778;16.093584;39600
pcb442;442;swap;10;100;2000;TAK;921557;58950;50778;16.093584;39600
pcb442;442;invert;10;100;2000;TAK;4535315;56970;50778;12.194257;198000
pcb442;442;insert;10;100;2000;TAK;1469755;58898;50778;15.991177;61479
pcb442;442;invert;10;200;5000;TAK;22962526;55129;50778;8.568671;995000
pcb442;442;invert;15;300;10000;TAK;55399380;53399;50778;5.161684;2309177
pcb442;442;insert;10;200;5000;TAK;22632118;57408;50778;13.056836;995000
pcb442;442;insert;15;300;10000;TAK;68587540;56454;50778;11.178069;2990000
pcb442;442;insert;15;500;20000;TAK;221869227;54974;50778;8.263421;9301360
pcb442;442;swap;5;150;2000;TAK;1373470;58950;50778;16.093584;59600
pcb442;442;swap;5;150;2000;TAK;1400284;58950;50778;16.093584;59600
pcb442;442;swap;5;150;2000;TAK;3051978;58367;50778;14.945449;132461
pcb442;442;swap;5;150;2000;TAK;1382775;58950;50778;16.093584;59600
pcb442;442;swap;5;150;2000;TAK;1371067;58950;50778;16.093584;59600
