Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
pr1002;1002;swap;5;50;2000;TAK;983143;313745;259045;21.116022;19600
pr1002;1002;swap;5;100;2000;TAK;2083632;313745;259045;21.116022;39600
pr1002;1002;swap;5;200;2000;TAK;8122772;313702;259045;21.099423;157011
pr1002;1002;swap;1;100;2000;TAK;2181230;313745;259045;21.116022;39600
pr1002;1002;swap;10;100;2000;TAK;2074605;313745;259045;21.116022;39600
pr1002;1002;invert;10;100;2000;TAK;7193358;312539;259045;20.650466;139887
pr1002;1002;insert;10;100;2000;TAK;10315926;308905;259045;19.247621;198000
pr1002;1002;invert;10;200;5000;TAK;51089599;304410;259045;17.512401;995000
pr1002;1002;invert;15;300;10000;TAK;151698702;287442;259045;10.962188;2990000
pr1002;1002;insert;10;200;5000;TAK;52326409;308731;259045;19.180451;995000
pr1002;1002;insert;15;300;10000;TAK;155878583;301398;259045;16.349669;2990000
pr1002;1002;insert;15;500;20000;TAK;525029549;294984;259045;13.873651;9980000
