Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
rat783;783;swap;5;50;2000;TAK;833497;10540;8806;19.691120;19600
rat783;783;swap;5;100;2000;TAK;1697257;10540;8806;19.691120;39600
rat783;783;swap;5;200;2000;TAK;3405747;10540;8806;19.691120;79600
rat783;783;swap;1;100;2000;TAK;1672314;10540;8806;19.691120;39600
rat783;783;swap;10;100;2000;TAK;6534465;10525;8806;19.520781;154737
rat783;783;invert;10;100;2000;TAK;7769310;10356;8806;17.601635;184338
rat783;783;insert;10;100;2000;TAK;3597516;10532;8806;19.600273;83457
rat783;783;invert;10;200;5000;TAK;43427073;10062;8806;14.263002;995000
rat783;783;invert;15;300;10000;TAK;129575102;9626;8806;9.311833;2990000
rat783;783;insert;10;200;5000;TAK;44519516;10358;8806;17.624347;995000
rat783;783;insert;15;300;10000;TAK;131223113;10138;8806;15.126050;2990000
rat783;783;insert;15;500;20000;TAK;437138314;9917;8806;12.616398;9980000
