Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
rl1304;1304;swap;5;50;2000;TAK;1596024;306195;252948;21.050572;19600
rl1304;1304;swap;5;100;2000;TAK;3255993;306195;252948;21.050572;39600
rl1304;1304;swap;5;200;2000;TAK;11498805;306152;252948;21.033572;139698
rl1304;1304;swap;1;100;2000;TAK;3324268;306195;252948;21.050572;39600
rl1304;1304;swap;10;100;2000;TAK;5556742;306080;252948;21.005108;67518
rl1304;1304;invert;10;100;2000;TAK;6246867;305725;252948;20.864763;75438
rl1304;1304;insert;10;100;2000;TAK;3276274;306195;252948;21.050572;39600
rl1304;1304;invert;10;200;5000;TAK;57864932;303920;252948;20.151177;694908
rl1304;1304;invert;15;300;10000;TAK;250795475;294104;252948;16.270538;2990000
rl1304;1304;insert;10;200;5000;TAK;46653588;305212;252948;20.661954;571329
rl1304;1304;insert;15;300;10000;TAK;251127686;300503;252948;18.800307;2990000
rl1304;1304;insert;15;500;20000;TAK;827639871;295864;252948;16.966333;9980000
