Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
si175;175;swap;5;50;2000;TAK;183214;22000;21407;2.770122;19600
si175;175;swap;5;100;2000;TAK;369074;22000;21407;2.770122;39600
si175;175;swap;5;200;2000;TAK;1765312;21893;21407;2.270285;202980
si175;175;swap;1;100;2000;TAK;348822;22000;21407;2.770122;39600
si175;175;swap;10;100;2000;TAK;1201937;21874;21407;2.181529;139788
si175;175;invert;10;100;2000;TAK;1650872;21661;21407;1.186528;198000
si175;175;insert;10;100;2000;TAK;1134892;21869;21407;2.158173;130878
si175;175;invert;10;200;5000;TAK;4802107;21669;21407;1.223899;563767
si175;175;invert;15;300;10000;TAK;10653962;21646;21407;1.116457;1246531
si175;175;insert;10;200;5000;TAK;5851251;21848;21407;2.060074;690729
si175;175;insert;15;300;10000;TAK;14214039;21772;21407;1.705050;1684865
si175;175;insert;15;500;20000;TAK;25253089;21768;21407;1.686364;3017952
