Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
st70;70;swap;5;50;2000;TAK;214417;737;675;9.185185;57330
st70;70;swap;5;100;2000;TAK;476885;759;675;12.444444;128304
st70;70;swap;5;200;2000;TAK;606754;732;675;8.444444;158205
st70;70;swap;1;100;2000;TAK;233209;781;675;15.703704;58806
st70;70;swap;10;100;2000;TAK;450499;761;675;12.740741;114642
st70;70;invert;10;100;2000;TAK;268405;726;675;7.555556;69696
st70;70;insert;10;100;2000;TAK;688138;699;675;3.555556;176517
st70;70;invert;10;200;5000;TAK;1099041;704;675;4.296296;284371
st70;70;invert;15;300;10000;TAK;3164184;703;675;4.148148;825838
st70;70;insert;10;200;5000;TAK;1082171;708;675;4.888889;282182
st70;70;insert;15;300;10000;TAK;2721635;703;675;4.148148;684411
st70;70;insert;15;500;20000;TAK;8185563;700;675;3.703704;2095301
