Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
u2319;2319;swap;5;50;2000;TAK;2464034;268878;234256;14.779557;19600
u2319;2319;swap;5;100;2000;TAK;5019386;268878;234256;14.779557;39600
u2319;2319;swap;5;200;2000;TAK;10284096;268878;234256;14.779557;79600
u2319;2319;swap;1;100;2000;TAK;5083513;268878;234256;14.779557;39600
u2319;2319;swap;10;100;2000;TAK;9865199;268852;234256;14.768458;78210
u2319;2319;invert;10;100;2000;TAK;13561758;267768;234256;14.305717;107118
u2319;2319;insert;10;100;2000;TAK;5017963;268878;234256;14.779557;39600
u2319;2319;invert;10;200;5000;TAK;130628608;266553;234256;13.787053;995000
u2319;2319;invert;15;300;10000;TAK;392670129;260145;234256;11.051585;2990000
u2319;2319;insert;10;200;5000;TAK;94782164;268322;234256;14.542210;744459
u2319;2319;insert;15;300;10000;TAK;385732528;264201;234256;12.783024;2990000
u2319;2319;insert;15;500;20000;TAK;900007203;262064;234256;11.870774;6793386
